Date,Open,High,Low,Close,Volume,Adj Close
12/04/2007,142.8000,143.6700,142.8000,143.6700,633.0000,38.7850
12/05/2007,143.7000,143.7000,143.7000,143.7000,2000.0000,38.7931
12/06/2007,143.2200,143.3400,143.2200,143.3400,1033.0000,38.6959
12/07/2007,143.4000,143.4300,143.4000,143.4300,4267.0000,38.7202
12/10/2007,143.7600,144.1200,143.7600,144.1200,2567.0000,38.9065
12/11/2007,144.6900,144.6900,144.0000,144.0000,2133.0000,38.8741
12/12/2007,144.2700,144.3900,143.6400,143.6400,3500.0000,38.7769
12/13/2007,144.0600,144.0600,143.6700,143.6700,1967.0000,38.7850
12/14/2007,144.1500,144.1500,143.6700,143.6700,1000.0000,38.7850
12/17/2007,144.2100,144.2100,143.6400,143.7900,300.0000,38.8174
12/18/2007,144.3600,144.3600,144.1800,144.1800,67.0000,38.9227
12/19/2007,143.5800,144.0900,143.5800,144.0900,333.0000,38.8984
12/20/2007,144.4200,144.4200,143.8800,144.0300,600.0000,38.8822
12/21/2007,144.3300,144.3300,143.7900,143.7900,500.0000,38.8174
12/24/2007,143.8800,143.8800,143.6100,143.6100,1467.0000,38.7688
12/26/2007,143.7000,143.7000,143.3700,143.5500,733.0000,38.7526
12/27/2007,143.5500,143.5500,143.5500,143.5500,0.0000,38.7526
12/28/2007,143.7600,143.7600,143.0400,143.6700,2400.0000,39.0724
12/31/2007,143.9400,143.9400,143.4000,143.6100,1267.0000,39.0561
01/02/2008,143.9400,143.9700,143.9100,143.9100,767.0000,39.1377
01/03/2008,144.0600,144.0600,142.6500,142.6500,1433.0000,38.7950
01/04/2008,143.1900,143.1900,140.4900,141.3000,6700.0000,38.4279
01/07/2008,142.4100,142.4100,141.2400,142.1100,1133.0000,38.6482
01/08/2008,142.8000,142.8000,141.0000,142.4700,1433.0000,38.7460
01/09/2008,141.6900,142.5900,141.0900,141.0900,1400.0000,38.3708
01/10/2008,141.3000,141.3000,138.0000,140.3100,12700.0000,38.1586
01/11/2008,140.5500,140.7300,138.7800,139.7400,1667.0000,38.0036
01/14/2008,140.5800,140.5800,139.6800,139.8000,567.0000,38.0199
01/15/2008,139.4400,139.4400,139.1400,139.1400,467.0000,37.8404
01/16/2008,140.3700,140.3700,139.8900,139.8900,1767.0000,38.0444
01/17/2008,138.8700,138.8700,136.8000,137.7000,1133.0000,37.4488
01/18/2008,138.5400,138.5400,137.7900,137.7900,600.0000,37.4733
01/22/2008,138.0000,138.0000,136.4700,137.9700,2600.0000,37.5223
01/23/2008,137.9100,138.0300,136.5600,137.9400,1400.0000,37.5141
01/24/2008,137.9700,138.4500,137.6400,137.6400,1533.0000,37.4325
01/25/2008,138.9300,138.9300,132.9300,136.1100,8533.0000,37.0164
01/28/2008,137.1300,137.2500,136.2000,137.2200,13067.0000,37.3183
01/29/2008,137.5500,137.7000,136.9200,137.4000,23200.0000,37.3672
01/30/2008,139.2000,141.0000,139.0200,139.8000,489567.0000,38.0199
01/31/2008,139.5000,140.4000,138.7500,140.2500,12500.0000,38.1423
