Date,Open,High,Low,Close,Volume,Adj Close
12/22/1998,15.1250,15.1250,14.9141,14.9141,15800.0000,5.7953
12/23/1998,14.8984,14.8984,14.8203,14.8516,48200.0000,5.7710
12/24/1998,15.1094,15.1562,15.0781,15.1250,47600.0000,5.8773
12/28/1998,15.0938,15.1250,15.0234,15.0469,6200.0000,5.8469
12/29/1998,15.1094,15.3359,15.1094,15.2969,24000.0000,5.9441
12/30/1998,15.3750,15.4141,15.1719,15.1719,140800.0000,5.8955
12/31/1998,15.1172,15.1172,15.0156,15.1172,43200.0000,5.8742
01/04/1999,15.0078,15.1250,14.8125,14.8750,218600.0000,5.7801
01/05/1999,14.9922,15.0547,14.9297,15.0547,222400.0000,5.8499
01/06/1999,15.1016,15.2578,15.1016,15.2109,82000.0000,5.9107
01/07/1999,15.2109,15.3672,15.1250,15.1562,444600.0000,5.8894
01/08/1999,15.2031,15.2578,15.0547,15.2422,271800.0000,5.9228
01/11/1999,15.1562,15.1562,14.7812,14.8359,258000.0000,5.7649
01/12/1999,14.8203,15.0625,14.7656,14.8438,14200.0000,5.7680
01/13/1999,14.7500,15.0547,14.7500,14.9453,51800.0000,5.8074
01/14/1999,14.7344,14.8828,14.6250,14.6953,40000.0000,5.7103
01/15/1999,14.7500,14.8984,14.7109,14.7656,13800.0000,5.7376
01/19/1999,15.2188,15.2656,15.0000,15.2656,24400.0000,5.9319
01/20/1999,15.2812,15.3672,15.1406,15.2031,65400.0000,5.9076
01/21/1999,15.3125,15.3125,15.1484,15.1484,41000.0000,5.8864
01/22/1999,15.0469,15.3594,14.9844,15.2500,41600.0000,5.9258
01/25/1999,15.2500,15.2500,14.6797,14.6797,27200.0000,5.7042
01/26/1999,14.8438,14.9688,14.6172,14.9688,30400.0000,5.8165
01/27/1999,14.9297,14.9297,14.7422,14.7422,15600.0000,5.7285
01/28/1999,14.7812,14.9688,14.7656,14.7656,35200.0000,5.7376
01/29/1999,14.7656,14.8281,14.6016,14.7422,79600.0000,5.7285
02/01/1999,14.8281,14.8281,14.6250,14.7109,24400.0000,5.7164
