Date,Open,High,Low,Close,Volume,Adj Close
12/22/1998,24.8125,25.0625,24.8125,25.0312,5700.0000,16.7162
12/23/1998,25.1875,25.5938,25.1875,25.5938,18100.0000,17.0918
12/24/1998,25.6250,25.7500,25.5156,25.7500,4900.0000,17.1961
12/28/1998,25.6719,25.7500,25.3750,25.3750,15500.0000,16.9457
12/29/1998,25.3750,25.9375,25.3750,25.9375,5300.0000,17.3213
12/30/1998,26.0000,26.0312,25.7188,25.7188,17300.0000,17.1753
12/31/1998,25.8125,26.0000,25.7500,26.0000,6600.0000,17.3631
01/04/1999,26.2500,26.3750,25.7812,25.9375,249200.0000,17.3213
01/05/1999,26.0000,26.3438,26.0000,26.3438,4400.0000,17.5926
01/06/1999,26.5312,26.7812,26.4688,26.7812,38500.0000,17.8848
01/07/1999,26.5312,26.6875,26.3438,26.6562,15900.0000,17.8013
01/08/1999,26.7188,26.9844,26.7188,26.9844,24400.0000,18.0205
01/11/1999,26.9688,27.2500,26.8125,27.0469,7700.0000,18.0622
01/12/1999,27.1250,27.2500,26.9062,26.9375,270700.0000,17.9892
01/13/1999,25.7812,26.8750,25.7812,26.6875,7100.0000,17.8222
01/14/1999,26.7812,26.8594,26.3750,26.4688,12200.0000,17.6761
01/15/1999,26.5625,26.9062,26.5625,26.8281,7700.0000,17.9161
01/19/1999,27.2812,27.6562,27.1250,27.5938,22700.0000,18.4274
01/20/1999,27.7500,28.1250,27.5938,27.7500,25800.0000,18.5318
01/21/1999,27.6875,27.6875,26.7188,26.7812,23200.0000,17.8848
01/22/1999,26.5938,26.8750,26.4062,26.6719,67100.0000,17.8118
01/25/1999,26.6875,26.9062,26.6875,26.8906,495300.0000,17.9579
01/26/1999,26.9375,27.0312,26.6719,27.0156,187400.0000,18.0413
01/27/1999,27.0938,27.0938,26.7500,26.7500,6800.0000,17.8639
01/28/1999,27.0000,27.3438,27.0000,27.2500,25800.0000,18.1978
01/29/1999,27.2812,27.2812,26.9062,27.2500,13800.0000,18.1978
02/01/1999,27.3750,27.4688,27.1562,27.4062,34000.0000,18.3022
02/02/1999,26.9688,27.0469,26.6250,27.0000,141700.0000,18.0309
02/03/1999,26.9375,27.5156,26.9375,27.5156,38900.0000,18.3752
02/04/1999,27.3438,27.4375,27.1250,27.3125,7400.0000,18.2396
02/05/1999,27.3125,27.3125,26.8125,27.0000,16900.0000,18.0309
02/08/1999,27.1250,27.1250,26.8750,26.9844,6500.0000,18.0205
02/09/1999,27.0625,27.0938,26.5000,26.5000,220800.0000,17.6970
02/10/1999,26.3125,26.5625,26.1875,26.5625,17800.0000,17.7387
02/11/1999,26.4688,27.2812,26.3750,27.2812,5300.0000,18.2187
02/12/1999,27.1250,27.1250,26.7188,26.8750,8400.0000,17.9474
02/16/1999,27.0000,27.3125,27.0000,27.1250,18500.0000,18.1144
02/17/1999,27.0625,27.2500,26.8125,26.8438,12900.0000,17.9266
02/18/1999,26.9375,27.2031,26.7656,27.1875,11500.0000,18.1561
02/19/1999,27.1875,27.3750,27.1875,27.2656,13900.0000,18.2083
02/22/1999,27.3750,27.8594,27.3125,27.8438,17800.0000,18.5944
02/23/1999,27.9062,27.9062,27.5000,27.7969,15000.0000,18.5631
02/24/1999,27.8750,27.9844,27.4688,27.4688,28000.0000,18.3439
02/25/1999,27.3438,27.3438,26.8750,27.2031,98900.0000,18.1665
02/26/1999,27.3125,27.3594,26.8906,27.2812,10800.0000,18.2187
03/01/1999,27.2188,27.2500,26.9062,27.2344,8800.0000,18.1874
03/02/1999,27.4062,27.6406,27.0469,27.2188,11500.0000,18.1770
03/03/1999,27.3125,27.3125,27.0000,27.0469,13100.0000,18.0622
03/04/1999,27.4375,27.5312,27.2344,27.5312,10400.0000,18.3857
03/05/1999,27.9375,28.2188,27.8438,28.1562,25400.0000,18.8031
03/08/1999,28.0938,28.1875,27.9375,28.1875,62700.0000,18.8239
03/09/1999,27.8438,28.2500,27.8125,27.9688,12200.0000,18.6778
03/10/1999,27.9375,28.2188,27.7812,28.2188,10700.0000,18.8448
03/11/1999,28.2188,28.5625,28.2188,28.4062,23600.0000,18.9700
03/12/1999,28.5312,28.6562,28.2500,28.2500,24600.0000,18.8657
03/15/1999,28.4375,28.5469,28.2188,28.3438,144800.0000,18.9283
03/16/1999,28.4375,28.4375,28.2344,28.2812,9100.0000,18.8865
03/17/1999,28.1875,28.3594,28.0156,28.1250,2700.0000,18.7822
03/18/1999,27.9688,28.5156,27.9688,28.5156,9500.0000,19.0430
03/19/1999,28.5312,28.6562,28.2812,28.3906,6900.0000,18.9596
03/22/1999,28.3125,28.5938,28.2812,28.3125,40900.0000,18.9074
03/23/1999,28.2500,28.2500,27.4375,27.5312,15400.0000,18.3857
03/24/1999,27.4688,27.6562,27.3438,27.6562,12800.0000,18.4691
03/25/1999,27.9062,28.1250,27.7500,28.1250,9700.0000,18.7822
03/26/1999,27.9219,28.0312,27.8438,27.9062,6600.0000,18.6361
03/29/1999,27.9375,28.3281,27.9375,28.2500,8100.0000,18.8657
03/30/1999,28.2188,28.3594,28.0938,28.1562,37300.0000,18.8031
03/31/1999,28.2500,28.2500,28.0000,28.0000,6300.0000,18.6987
04/01/1999,28.0000,28.0781,27.6562,28.0000,22500.0000,18.6987
04/05/1999,28.4375,28.7500,28.4375,28.6250,12400.0000,19.1161
04/06/1999,28.7500,28.8750,28.5625,28.6562,14500.0000,19.1370
04/07/1999,28.8438,29.3438,28.8438,29.2031,15700.0000,19.5022
04/08/1999,29.1250,29.5000,29.0938,29.5000,29600.0000,19.7004
04/09/1999,29.5000,29.5938,29.2812,29.5938,6600.0000,19.7630
04/12/1999,29.2812,30.3438,29.2812,30.3438,87300.0000,20.2639
04/13/1999,30.4375,30.4688,30.0312,30.0312,23600.0000,20.0552
04/14/1999,30.2500,30.3125,29.7500,29.7500,96900.0000,19.8674
04/15/1999,29.8125,29.8125,28.7812,29.0000,17800.0000,19.3665
04/16/1999,29.0000,29.0000,28.5312,28.7188,10400.0000,19.1787
04/19/1999,28.9375,29.0938,27.8750,27.9375,32700.0000,18.6570
04/20/1999,28.1250,28.4688,27.9062,28.4688,15700.0000,19.0117
04/21/1999,28.4062,29.1250,28.4062,29.1250,16000.0000,19.4500
04/22/1999,29.2500,29.8438,29.2500,29.7188,20200.0000,19.8465
04/23/1999,29.9062,30.3906,29.9062,30.3906,9800.0000,20.2952
04/26/1999,30.5312,30.5312,30.1875,30.3438,36200.0000,20.2639
04/27/1999,30.5781,30.5938,30.0938,30.3750,13900.0000,20.2848
04/28/1999,30.2500,30.2500,29.5625,29.5625,25500.0000,19.7422
04/29/1999,29.6250,29.8125,29.0312,29.2188,9800.0000,19.5126
04/30/1999,29.4375,29.5938,29.0000,29.0000,5800.0000,19.3665
05/03/1999,29.3438,29.5938,29.2500,29.5625,13000.0000,19.7422
05/04/1999,29.6875,29.6875,29.0000,29.0000,23000.0000,19.3665
05/05/1999,29.0938,29.3125,28.8125,29.2500,17100.0000,19.5335
05/06/1999,29.3750,29.5938,29.3125,29.3750,17500.0000,19.6170
05/07/1999,29.6250,29.6250,29.1875,29.2812,8000.0000,19.5543
05/10/1999,29.3125,29.5625,29.1562,29.2188,27300.0000,19.5126
05/11/1999,29.5625,29.7500,29.5000,29.6875,51000.0000,19.8256
05/12/1999,29.4688,30.0625,29.4062,29.9688,8100.0000,20.0135
05/13/1999,30.0938,30.0938,29.7500,29.7812,9600.0000,19.8883
05/14/1999,29.1250,29.3125,29.1250,29.2500,4600.0000,19.5335
05/17/1999,28.9062,29.0625,28.6875,29.0625,5800.0000,19.4083
05/18/1999,28.9375,29.2188,28.7500,28.7500,8500.0000,19.1996
05/19/1999,28.9688,29.1875,28.9062,29.0938,12100.0000,19.4291
05/20/1999,29.2500,29.6250,29.2500,29.4844,15300.0000,19.6900
05/21/1999,29.3750,29.3750,29.0625,29.1562,8400.0000,19.4709
05/24/1999,29.2188,29.2500,28.4688,28.4688,14000.0000,19.0117
05/25/1999,28.5000,28.7500,28.1875,28.1875,7200.0000,18.8239
05/26/1999,28.3750,28.3750,27.9688,28.2188,9300.0000,18.8448
05/27/1999,28.1094,28.1094,27.7344,27.9062,6600.0000,18.6361
05/28/1999,28.0000,28.1250,27.9531,28.1094,6000.0000,18.7718
06/01/1999,27.9688,28.1875,27.8438,28.1875,4400.0000,18.8239
06/02/1999,28.3438,28.3438,27.7812,28.0938,9200.0000,18.7613
06/03/1999,28.2812,28.4375,28.2812,28.3125,4900.0000,18.9074
06/04/1999,28.8750,29.0312,28.8125,29.0000,1200.0000,19.3665
06/07/1999,28.7500,28.7500,28.5312,28.7500,4200.0000,19.1996
06/08/1999,28.6250,28.7656,28.5156,28.5156,6400.0000,19.0430
06/09/1999,28.5312,28.7500,28.4844,28.5312,3000.0000,19.0535
06/10/1999,28.2188,28.2969,27.9375,28.2969,13300.0000,18.8970
06/11/1999,28.4375,28.4688,27.9688,27.9688,2500.0000,18.6778
06/14/1999,28.2500,28.2500,28.0625,28.1250,12700.0000,18.7822
06/15/1999,28.3125,28.6875,28.3125,28.4375,3600.0000,18.9909
06/16/1999,28.9375,29.0000,28.9062,29.0000,13500.0000,19.3665
06/17/1999,29.0625,29.2656,28.9688,29.1406,12300.0000,19.4604
06/18/1999,29.0000,29.1562,28.9375,29.0000,6200.0000,19.3665
06/21/1999,29.0938,29.0938,28.8438,28.8594,14100.0000,19.2726
06/22/1999,29.0938,29.0938,28.8125,28.8125,3900.0000,19.2413
