Date,Open,High,Low,Close,Volume,Adj Close
06/26/2006,182.2600,182.5800,181.8900,182.4000,24900.0000,148.2847
06/27/2006,182.3500,182.7800,182.3500,182.4200,23400.0000,148.3009
06/28/2006,181.6700,181.8700,181.6700,181.8300,125000.0000,147.8212
06/29/2006,181.2000,183.2100,181.1700,183.2100,47600.0000,148.9432
06/30/2006,184.7900,185.0100,184.7400,184.9300,31800.0000,150.3415
07/03/2006,184.5200,184.7800,183.9700,184.1100,17200.0000,149.8401
07/05/2006,184.1100,184.1100,184.1100,184.1100,,149.8401
07/06/2006,184.1100,184.1100,184.1100,184.1100,,149.8401
07/07/2006,185.4400,185.4400,185.0600,185.2900,8500.0000,150.8005
07/10/2006,184.3100,184.5100,184.2900,184.4000,13800.0000,150.0761
07/11/2006,184.4100,184.9300,184.4000,184.9300,13000.0000,150.5075
07/12/2006,183.9000,183.9000,183.5000,183.7000,700.0000,149.5064
07/13/2006,184.7000,184.7000,184.1600,184.4700,14800.0000,150.1331
07/14/2006,184.0800,184.0800,183.8800,183.8800,6200.0000,149.6529
07/17/2006,182.2500,182.5300,182.1800,182.1800,13300.0000,148.2694
07/18/2006,183.3400,183.3400,182.9000,182.9800,42700.0000,148.9204
07/19/2006,182.9300,184.6800,182.9300,184.6800,900.0000,150.3040
07/20/2006,185.4300,185.4300,185.2400,185.2400,7300.0000,150.7597
07/21/2006,186.2200,186.3500,186.2200,186.3300,600.0000,151.6469
07/24/2006,185.8000,185.8000,185.4500,185.5000,1000.0000,150.9713
07/25/2006,185.1000,185.1900,184.5100,184.5700,18000.0000,150.2145
07/26/2006,185.4900,186.0200,185.4900,185.9300,20000.0000,151.3213
07/27/2006,187.0200,187.0200,186.1300,186.3100,10000.0000,151.6306
07/28/2006,187.0400,187.1500,186.9200,186.9200,14900.0000,152.1271
07/31/2006,187.3500,187.4800,187.0500,187.4200,14400.0000,152.5340
08/01/2006,186.8100,187.7600,186.7100,187.7100,36400.0000,153.2606
08/02/2006,187.8700,188.0000,187.6000,187.7700,9400.0000,153.3096
08/03/2006,188.9500,188.9500,188.5500,188.8000,24300.0000,154.1506
08/04/2006,190.6900,191.2800,190.6900,190.8900,25500.0000,155.8570
08/07/2006,191.1500,191.2700,190.5900,190.7000,12600.0000,155.7019
08/08/2006,190.7400,191.9900,190.6500,190.6500,8400.0000,155.6611
08/09/2006,191.1100,191.2700,190.7600,190.7600,9900.0000,155.7509
08/10/2006,190.3800,190.3800,189.2300,189.2700,7600.0000,154.5344
08/11/2006,189.4500,189.9500,189.2800,189.2800,1300.0000,154.5425
08/14/2006,189.3200,189.5400,189.1100,189.1100,1100.0000,154.4037
08/15/2006,189.9800,189.9800,189.5800,189.5800,12100.0000,154.7874
08/16/2006,190.4300,190.4300,189.9600,189.9600,1400.0000,155.0977
08/17/2006,189.7300,189.8600,189.0000,189.0000,1700.0000,154.3139
08/18/2006,188.4000,188.7400,188.3200,188.4300,8800.0000,153.8485
08/21/2006,190.1200,190.1200,189.9600,189.9900,1600.0000,155.1223
08/22/2006,189.3500,189.3600,189.0800,189.2000,12000.0000,154.4772
08/23/2006,190.0500,190.0500,189.5400,189.8500,2300.0000,155.0079
08/24/2006,189.9300,189.9300,189.3300,189.3300,500.0000,154.5834
08/25/2006,189.1800,189.2100,189.1800,189.2100,1100.0000,154.4853
08/28/2006,190.1300,190.2900,190.0700,190.0700,500.0000,155.1875
08/29/2006,190.4800,190.5500,189.7200,190.4700,6300.0000,155.5141
08/30/2006,190.9500,191.1400,190.9500,191.0600,1000.0000,155.9959
08/31/2006,191.2600,191.2600,190.8400,190.8800,500.0000,155.8489
09/01/2006,189.8800,190.6200,189.8800,190.6200,1600.0000,156.1709
09/05/2006,189.4400,189.5500,189.3100,189.5500,19700.0000,155.2943
09/06/2006,188.4400,188.5800,188.2100,188.5800,4200.0000,154.4996
09/07/2006,187.3500,187.9200,187.3500,187.6600,18700.0000,153.7459
09/08/2006,186.9000,186.9000,186.6200,186.6900,17300.0000,152.9511
09/11/2006,186.7900,186.7900,186.3200,186.7800,12500.0000,153.0248
09/12/2006,187.7800,187.7900,187.5600,187.7700,10600.0000,153.8359
09/13/2006,187.8000,187.9800,187.7400,187.9600,20600.0000,153.9916
09/14/2006,187.9600,187.9600,187.9600,187.9600,,153.9916
09/15/2006,187.9600,187.9600,187.9600,187.9600,,153.9916
09/18/2006,188.0600,188.4800,188.0600,188.3300,23800.0000,154.2947
09/19/2006,189.1000,189.1000,188.4600,188.6800,8000.0000,154.5814
09/20/2006,189.4300,189.6700,189.2300,189.2300,8900.0000,155.0321
09/21/2006,190.1600,190.7500,190.0900,190.7500,26900.0000,156.2773
09/22/2006,190.5300,190.5300,190.4900,190.4900,200.0000,156.0644
09/25/2006,190.4500,190.5400,190.4500,190.5400,600.0000,156.1053
09/26/2006,190.2500,190.2500,189.9300,190.1300,700.0000,155.7694
09/27/2006,189.3400,189.4600,189.3400,189.3800,2300.0000,155.1549
09/28/2006,188.4000,188.4000,188.0500,188.1500,6100.0000,154.1473
09/29/2006,187.7500,187.8800,187.7500,187.8800,500.0000,153.9261
10/02/2006,187.4000,188.7700,187.4000,188.7700,1000.0000,155.1664
10/03/2006,188.8500,188.8800,188.8500,188.8800,1300.0000,155.2568
10/04/2006,188.6700,188.6700,188.6700,188.6700,100.0000,155.0842
10/05/2006,187.7800,187.8800,187.7500,187.8200,1000.0000,154.3855
10/06/2006,187.8200,187.8200,187.8200,187.8200,,154.3855
10/09/2006,186.7300,186.8800,186.7300,186.8700,9200.0000,153.6046
10/10/2006,185.7000,185.7000,185.5100,185.6300,8100.0000,152.5854
10/11/2006,185.6700,185.9800,185.6600,185.7700,4700.0000,152.7005
10/12/2006,185.7700,185.7700,185.7700,185.7700,,152.7005
10/13/2006,185.8300,185.8300,185.8300,185.8300,400.0000,152.7498
10/16/2006,186.4700,186.4700,186.3500,186.4300,1700.0000,153.2430
10/17/2006,187.3800,187.4800,187.3800,187.4800,3200.0000,154.1060
10/18/2006,187.0600,187.1600,187.0200,187.1600,2200.0000,153.8430
10/19/2006,188.0000,188.1300,188.0000,188.1300,5700.0000,154.6404
10/20/2006,188.8000,188.8400,188.8000,188.8400,500.0000,155.2239
10/23/2006,187.4000,187.9100,187.4000,187.9100,2400.0000,154.4595
10/24/2006,187.7000,187.9000,187.7000,187.9000,600.0000,154.4513
10/25/2006,188.2000,188.2000,188.2000,188.2000,100.0000,154.6979
10/26/2006,189.6300,189.6300,189.6300,189.6300,100.0000,155.8733
10/27/2006,190.6300,190.6300,190.2500,190.2500,8300.0000,156.3830
10/30/2006,190.8200,190.8700,190.7800,190.7800,1000.0000,156.8186
10/31/2006,190.7000,191.6100,190.7000,191.3900,17000.0000,157.3200
11/01/2006,190.8500,191.0100,190.8500,191.0100,800.0000,157.5485
11/02/2006,190.8900,190.8900,190.8900,190.8900,100.0000,157.4496
11/03/2006,190.0600,190.2000,190.0200,190.2000,7200.0000,156.8804
11/06/2006,189.8200,189.8900,189.7800,189.8300,1700.0000,156.5752
11/07/2006,191.2400,191.3800,190.7600,190.7600,8500.0000,157.3423
11/08/2006,190.4000,190.8700,190.4000,190.7900,5600.0000,157.3670
11/09/2006,190.1500,190.9900,190.1500,190.6600,13100.0000,157.2598
11/10/2006,191.8000,191.8000,191.3200,191.3300,11800.0000,157.8124
11/13/2006,190.4800,190.4800,190.3000,190.3900,18400.0000,157.0371
11/14/2006,190.1800,190.2500,189.7500,189.9800,8800.0000,156.6989
11/15/2006,188.8200,189.2600,188.7600,189.2600,3400.0000,156.1050
11/16/2006,189.2500,189.3800,189.2300,189.3800,1600.0000,156.2041
11/17/2006,189.2000,189.9000,189.2000,189.6800,6300.0000,156.4515
11/20/2006,190.2200,190.2200,190.0600,190.1300,3000.0000,156.8227
11/21/2006,190.3400,190.5100,190.2800,190.5100,1500.0000,157.1361
11/22/2006,191.7800,192.2000,191.7400,191.9300,9900.0000,158.3073
11/24/2006,193.7500,193.8900,193.7100,193.7600,6700.0000,159.8168
11/27/2006,194.2000,194.4500,194.1700,194.3500,9100.0000,160.3034
11/28/2006,195.4000,195.9000,195.2400,195.9000,31700.0000,161.5818
11/29/2006,195.9700,195.9700,195.0000,195.0000,13500.0000,160.8395
11/30/2006,196.4500,197.6200,196.3800,197.2500,6700.0000,162.6954
12/01/2006,197.2700,198.4900,197.2200,198.0600,68800.0000,163.9311
12/04/2006,197.6500,198.0800,197.5500,198.0300,6400.0000,163.9063
12/05/2006,197.7300,197.7500,196.9200,197.5200,16800.0000,163.4842
12/06/2006,196.9700,197.1400,196.6500,196.6500,2000.0000,162.7641
12/07/2006,196.5300,196.5300,196.3000,196.3600,3500.0000,162.5240
12/08/2006,197.1300,197.1500,195.3900,195.5400,11500.0000,161.8453
12/11/2006,195.3500,196.1500,195.1500,195.9400,13200.0000,162.1764
12/12/2006,197.0400,197.3600,196.7800,197.3600,3000.0000,163.3517
12/13/2006,196.6000,197.1600,196.3600,196.9300,8300.0000,162.9958
12/14/2006,196.6500,196.6800,196.1500,196.3300,5600.0000,162.4992
12/15/2006,196.5400,196.5400,195.3700,195.3800,2400.0000,161.7130
12/18/2006,194.7700,195.2500,194.7700,195.2000,6300.0000,161.5639
12/19/2006,196.4000,197.3000,196.4000,197.2800,8500.0000,163.2856
12/20/2006,197.5300,197.5300,196.6900,196.7600,1100.0000,162.8552
12/21/2006,196.1800,196.6600,196.1800,196.5200,11300.0000,162.6564
12/22/2006,196.7800,196.7800,196.1800,196.4800,1400.0000,162.6234
12/26/2006,196.2100,196.3200,195.8500,196.0000,12000.0000,162.2260
12/27/2006,196.3100,196.3100,196.1700,196.2900,800.0000,162.4661
12/28/2006,197.2000,197.2000,196.5000,196.6000,5700.0000,162.7227
12/29/2006,196.7900,196.7900,196.5000,196.5000,6700.0000,162.6400
01/03/2007,195.9000,195.9800,194.9900,195.1300,7600.0000,162.0991
01/04/2007,194.5300,194.5300,194.3600,194.3600,3200.0000,161.4595
01/05/2007,192.9900,193.2500,192.8200,193.1800,14700.0000,160.4792
01/08/2007,193.2800,193.9600,193.2800,193.9600,3500.0000,161.1272
01/09/2007,194.4100,194.4100,194.0300,194.2000,1400.0000,161.3265
01/10/2007,193.8900,193.8900,192.7700,193.4500,16900.0000,160.7034
01/11/2007,194.7800,194.7900,194.3800,194.7900,3300.0000,161.8167
01/12/2007,196.0600,196.0600,196.0600,196.0600,600.0000,162.8716
01/16/2007,196.8000,196.8000,196.3400,196.5100,18000.0000,163.2455
01/17/2007,197.0600,197.5000,197.0500,197.3700,22300.0000,163.9599
01/18/2007,197.5300,197.7600,197.3100,197.7100,20100.0000,164.2424
01/19/2007,197.8000,198.0300,197.5000,197.9000,11100.0000,164.4002
01/22/2007,198.0000,198.2700,197.9800,198.1600,2100.0000,164.6162
01/23/2007,199.3800,199.4800,198.7700,198.7700,3000.0000,165.1229
01/24/2007,197.2900,197.3200,197.2200,197.2700,800.0000,163.8769
01/25/2007,197.6500,197.6500,196.8800,196.9400,10100.0000,163.6027
01/26/2007,195.0000,196.7000,195.0000,196.5400,6900.0000,163.2704
01/29/2007,196.5000,196.7000,196.5000,196.6000,12100.0000,163.3203
01/30/2007,196.8400,197.0900,196.8100,196.9300,4300.0000,163.5943
01/31/2007,195.8700,197.1900,195.8700,197.1900,13900.0000,163.8104
02/01/2007,196.8900,197.1100,196.6800,196.7300,11900.0000,164.0472
02/02/2007,196.7700,196.8100,196.7000,196.7200,6600.0000,164.0389
02/05/2007,195.7700,196.1100,195.7400,196.1000,2800.0000,163.5219
02/06/2007,197.0400,197.2700,196.9900,197.2700,5200.0000,164.4975
02/07/2007,197.2800,197.3300,197.0500,197.0700,21000.0000,164.3308
02/08/2007,195.8800,196.0200,195.7300,196.0000,9900.0000,163.4384
02/09/2007,195.1500,195.3400,195.0300,195.3300,900.0000,162.8798
02/12/2007,194.9200,195.1500,194.9200,195.0300,3000.0000,162.6296
02/13/2007,194.6800,194.9600,192.1800,194.9600,13900.0000,162.5713
02/14/2007,195.9900,196.7000,195.9900,196.6800,9000.0000,164.0055
02/15/2007,195.8500,195.8500,195.5600,195.7600,16500.0000,163.2383
02/16/2007,195.2600,195.4900,195.2600,195.4500,24600.0000,162.9799
02/20/2007,195.7900,196.1100,195.7900,195.9100,8200.0000,163.3634
02/21/2007,195.7000,195.9900,195.5600,195.9900,2900.0000,163.4302
02/22/2007,196.3600,196.4000,196.2500,196.2500,2500.0000,163.6469
02/23/2007,196.9700,197.1000,196.9000,196.9000,2600.0000,164.1890
02/26/2007,196.9400,196.9700,196.8300,196.8300,2400.0000,164.1306
02/27/2007,197.0500,197.3100,196.8100,196.8100,3000.0000,164.1139
02/28/2007,196.5600,197.1200,196.4900,197.0500,9200.0000,164.3141
03/01/2007,196.2000,196.2000,195.7200,196.0300,9200.0000,164.0337
03/02/2007,194.3200,194.6700,194.3000,194.4200,34300.0000,162.6865
03/05/2007,192.4000,192.8900,192.4000,192.4100,4900.0000,161.0046
03/06/2007,192.6000,193.4100,192.6000,193.4100,3000.0000,161.8414
03/07/2007,193.0400,193.5400,190.5600,193.5300,4000.0000,161.9418
03/08/2007,192.9900,193.2300,192.9400,193.0900,7800.0000,161.5736
03/09/2007,193.4100,193.5800,193.3400,193.4400,6700.0000,161.8664
03/12/2007,193.0700,193.5800,192.9800,193.4900,7600.0000,161.9083
03/13/2007,193.7400,193.7500,193.4700,193.5500,3100.0000,161.9585
03/14/2007,192.8700,193.9400,192.8700,193.9400,3100.0000,162.2849
03/15/2007,193.7000,194.1100,193.7000,194.1100,4200.0000,162.4271
03/16/2007,195.0800,195.1400,194.6000,194.6300,4900.0000,162.8623
03/19/2007,195.1700,195.2000,194.6600,194.7900,3600.0000,162.9961
03/20/2007,196.2000,196.7700,196.1900,196.6100,3200.0000,164.5191
03/21/2007,196.4400,197.5600,196.4000,197.4500,6700.0000,165.2220
03/22/2007,197.4200,197.6100,196.8900,197.0400,2700.0000,164.8789
03/23/2007,196.8100,196.9800,196.5900,196.8000,2700.0000,164.6781
03/26/2007,197.2500,197.9200,197.2500,197.6100,5400.0000,165.3559
03/27/2007,197.2800,197.4000,197.2100,197.3500,2900.0000,165.1383
03/28/2007,197.4600,197.4600,196.8500,196.8500,5300.0000,164.7199
03/29/2007,197.0300,197.0700,196.9800,197.0700,3400.0000,164.9040
03/30/2007,196.6000,197.9200,196.5100,197.4900,13100.0000,165.2554
04/02/2007,198.1000,198.1300,197.8700,197.8800,6300.0000,166.2198
04/03/2007,197.7700,198.0300,197.4400,197.5500,7600.0000,165.9426
04/04/2007,197.5500,197.9000,197.4400,197.5900,3800.0000,165.9762
04/05/2007,197.3200,197.4900,197.1900,197.1900,11300.0000,165.6401
04/09/2007,196.4200,196.4900,196.2000,196.3500,7500.0000,164.9345
04/10/2007,197.5900,197.7100,197.4800,197.4800,3300.0000,165.8837
04/11/2007,198.0000,198.1100,197.7300,197.8500,5200.0000,166.1946
04/12/2007,198.1200,198.3700,198.0000,198.2200,9100.0000,166.5053
04/13/2007,199.0000,199.0400,198.3300,199.0000,5300.0000,167.1606
04/16/2007,199.5500,199.6000,199.4000,199.5200,4000.0000,167.5973
04/17/2007,200.9200,201.2500,200.8800,201.2500,4000.0000,169.0506
04/18/2007,201.1800,201.2500,200.9800,201.1500,6300.0000,168.9666
04/19/2007,200.5400,200.8300,200.5400,200.8000,4900.0000,168.6726
04/20/2007,200.7800,200.9800,200.7000,200.9300,8200.0000,168.7817
04/23/2007,200.4200,200.8600,200.4200,200.7100,10300.0000,168.5970
04/24/2007,200.6800,200.9400,200.6300,200.6600,8300.0000,168.5550
04/25/2007,200.9400,201.2800,200.7100,200.7100,5600.0000,168.5970
04/26/2007,199.8400,199.8600,199.6100,199.8600,5200.0000,167.8830
04/27/2007,201.0000,201.0300,200.3200,200.4900,7000.0000,168.4122
04/30/2007,200.3000,201.1400,200.3000,200.8300,6200.0000,168.6978
05/01/2007,200.8000,200.8000,199.9800,199.9800,1200.0000,168.6084
05/02/2007,199.1000,199.3100,198.7800,198.9500,11100.0000,167.7400
05/03/2007,199.0600,199.0600,198.6800,198.9000,3100.0000,167.6978
05/04/2007,199.3000,199.5300,199.2000,199.3200,9100.0000,168.0519
05/07/2007,199.7900,199.8500,199.5100,199.5300,3000.0000,168.2290
05/08/2007,199.4900,199.5900,199.0300,199.2500,2400.0000,167.9929
05/09/2007,199.9000,200.0300,199.5800,199.5800,7500.0000,168.2711
05/10/2007,198.4900,198.6200,197.9100,198.2700,9000.0000,167.1666
05/11/2007,198.4600,198.6700,198.4000,198.5300,11600.0000,167.3859
05/14/2007,198.3000,198.3200,198.1500,198.1500,3800.0000,167.0654
05/15/2007,198.0400,199.1100,198.0400,199.0200,8700.0000,167.7990
05/16/2007,198.7000,198.8100,198.0900,198.1500,12300.0000,167.0654
05/17/2007,197.9000,197.9900,197.8200,197.9900,11100.0000,166.9306
05/18/2007,197.6000,198.1900,197.6000,198.0100,6500.0000,166.9474
05/21/2007,197.5000,197.6500,197.3700,197.6200,15700.0000,166.6186
05/22/2007,198.0000,198.1700,197.9400,198.1200,5100.0000,167.0402
05/23/2007,199.2500,199.6100,199.2000,199.2300,14200.0000,167.9761
05/24/2007,199.5200,199.5200,199.0800,199.4000,4200.0000,168.1193
05/25/2007,199.1600,199.2000,199.0000,199.2000,5600.0000,167.9508
05/29/2007,199.2500,199.2500,198.7200,198.7200,18500.0000,167.5461
05/30/2007,198.3400,198.4000,198.1600,198.2600,4900.0000,167.1582
05/31/2007,198.6500,198.8200,198.3200,198.7400,1700.0000,167.5628
06/01/2007,198.0000,198.3500,197.9000,198.1900,15800.0000,167.7669
06/04/2007,199.0800,199.3200,199.0100,199.2300,16900.0000,168.6473
06/05/2007,199.5700,199.6600,199.2800,199.3800,11200.0000,168.7743
06/06/2007,199.6700,199.6700,199.2700,199.5500,33800.0000,168.9182
06/07/2007,198.4400,198.5800,197.8300,197.9000,10700.0000,167.5214
06/08/2007,197.0400,197.0800,196.2400,197.0700,13500.0000,166.8188
06/11/2007,197.0200,197.2700,196.9700,197.2600,2600.0000,166.9796
06/12/2007,197.6500,198.2000,197.6100,197.8400,3700.0000,167.4707
06/13/2007,197.2200,197.7200,197.2200,197.6300,3400.0000,167.2930
06/14/2007,197.1400,197.3200,197.1100,197.3000,1600.0000,167.0135
06/15/2007,197.9100,198.1800,197.8600,197.8700,8600.0000,167.4960
06/18/2007,198.6600,198.8600,198.5000,198.7800,7900.0000,168.2664
06/19/2007,199.2500,199.3300,199.2500,199.3300,4100.0000,168.7319
06/20/2007,199.8800,200.0000,199.8200,199.9900,11600.0000,169.2906
06/21/2007,199.8100,199.8500,199.7200,199.8500,6100.0000,169.1721
06/22/2007,200.4300,200.4700,200.3700,200.4500,3900.0000,169.6800
06/25/2007,200.6000,200.6000,200.2200,200.4300,14800.0000,169.6631
06/26/2007,200.5800,200.6800,200.5300,200.6800,28700.0000,169.8747
06/27/2007,200.5300,200.5700,200.3800,200.5700,21000.0000,169.7816
06/28/2007,200.9600,201.0400,200.7300,200.7800,90500.0000,169.9593
06/29/2007,201.4000,201.6300,201.2200,201.6300,12300.0000,170.6789
07/02/2007,201.0000,201.7900,201.0000,201.7400,19100.0000,171.4532
07/03/2007,201.8600,201.9900,201.7700,201.9100,6500.0000,171.5976
07/05/2007,201.7000,201.7000,201.1700,201.4400,1400.0000,171.1982
07/06/2007,201.0400,201.6100,201.0400,201.2700,6200.0000,171.0536
07/09/2007,201.6800,201.9500,201.6800,201.7600,5600.0000,171.4701
07/10/2007,202.2000,203.1500,202.2000,202.9600,12900.0000,172.4901
07/11/2007,203.7900,204.0300,202.8500,203.6400,40300.0000,173.0679
07/12/2007,203.4000,203.5600,203.0900,203.3400,4900.0000,172.8129
07/13/2007,203.8700,203.9300,203.7100,203.7200,1800.0000,173.1359
07/16/2007,204.1900,204.4100,204.0800,204.1500,14100.0000,173.5013
07/17/2007,205.0200,205.1900,204.9600,205.0200,18100.0000,174.2407
07/18/2007,205.4200,206.0400,205.4200,205.7900,24300.0000,174.8950
07/19/2007,205.2500,205.4400,205.2300,205.3200,37200.0000,174.4957
07/20/2007,205.8000,206.4500,205.7400,206.0300,38400.0000,175.0990
07/23/2007,206.4500,206.5300,206.3200,206.3700,31200.0000,175.3880
07/24/2007,206.9200,207.1100,206.6500,206.6500,37700.0000,175.6260
07/25/2007,206.1500,206.2200,205.6800,205.8100,26800.0000,174.9121
07/26/2007,205.3100,206.1100,205.1800,205.5000,14000.0000,174.6487
07/27/2007,203.9700,203.9700,203.2700,203.2700,14700.0000,172.7534
07/30/2007,203.4600,203.4700,203.2400,203.3600,8100.0000,172.8299
07/31/2007,204.0200,204.5600,203.7600,204.1700,7200.0000,173.5183
08/01/2007,203.3000,203.4000,202.7800,203.1000,64500.0000,173.3672
08/02/2007,203.0600,203.6300,203.0600,203.6300,123300.0000,173.8196
08/03/2007,204.0200,204.6800,203.9100,204.2200,14900.0000,174.3232
08/06/2007,203.1000,203.2300,202.9600,203.1800,32300.0000,173.4355
08/07/2007,202.2700,202.5500,202.0400,202.5500,11100.0000,172.8978
08/08/2007,204.0000,204.1600,203.8100,203.8800,27200.0000,174.0330
08/09/2007,202.6200,203.4100,202.5500,202.5800,4400.0000,172.9233
08/10/2007,201.9400,202.6900,201.9400,202.5200,6100.0000,172.8721
08/13/2007,201.8000,201.8000,201.5100,201.7000,4900.0000,172.1722
08/14/2007,200.4000,200.4500,200.0900,200.2500,12500.0000,170.9345
08/15/2007,199.1900,199.9200,199.1900,199.4600,30500.0000,170.2601
08/16/2007,199.0000,199.1000,198.1600,198.4700,51100.0000,169.4150
08/17/2007,199.7800,199.7800,197.9100,198.7200,22700.0000,169.6284
08/20/2007,199.1500,199.4200,198.7400,199.3300,10200.0000,170.1491
08/21/2007,198.5900,198.8400,198.4000,198.8200,9400.0000,169.7138
