Date,Open,High,Low,Close,Volume,Adj Close
09/25/2020,100.5200,100.7800,100.5200,100.7800,25.0000,81.6727
09/28/2020,100.2440,100.2440,100.2440,100.2440,25.0000,81.2383
09/29/2020,100.4160,100.4160,100.4160,100.4160,25.0000,81.3777
09/30/2020,99.8000,99.8000,99.0080,99.0080,100.0000,80.2367
10/01/2020,98.6800,99.3520,98.6800,99.3520,100.0000,80.5155
10/02/2020,99.3600,99.3600,98.6640,98.6640,100.0000,79.9579
10/05/2020,97.2000,97.2000,95.8880,95.8880,125.0000,77.7082
10/06/2020,95.9200,97.3200,95.6000,96.7480,2250.0000,78.4052
10/07/2020,95.6800,96.2000,95.5000,95.5000,1175.0000,77.3938
10/08/2020,96.2880,96.2880,96.2880,96.2880,25.0000,78.0324
10/09/2020,95.7600,96.2000,95.7600,96.1960,200.0000,77.9578
10/12/2020,96.8000,96.8800,96.3200,96.6600,1175.0000,78.3338
10/13/2020,97.1600,97.8120,97.1600,97.8120,175.0000,79.2674
10/14/2020,98.6000,98.6000,98.1360,98.1360,1350.0000,79.5300
10/15/2020,97.9400,97.9400,97.9400,97.9400,,79.3712
10/16/2020,97.4680,97.4680,97.4680,97.4680,25.0000,78.9887
10/19/2020,96.8000,97.0320,96.8000,97.0320,125.0000,78.6353
10/20/2020,95.4920,95.4920,95.4920,95.4920,,77.3873
10/21/2020,95.0800,95.0880,95.0800,95.0880,100.0000,77.0599
10/22/2020,93.7400,93.7400,93.7400,93.7400,,75.9675
10/23/2020,93.3600,94.4000,93.3600,94.4000,75.0000,76.5023
10/26/2020,95.4800,96.0400,95.4800,95.8760,225.0000,77.6985
10/27/2020,96.4000,96.8000,96.4000,96.7560,100.0000,78.4116
10/28/2020,97.4400,97.5200,96.5960,96.9960,20050.0000,78.6061
10/29/2020,97.0400,97.0400,94.9600,95.5560,2900.0000,77.4391
10/30/2020,95.5600,95.8000,94.4400,94.4440,3900.0000,76.5380
11/02/2020,95.3600,95.6800,95.0000,95.1160,107825.0000,77.1872
11/03/2020,94.7200,94.7200,94.3200,94.4240,600.0000,76.6256
11/04/2020,97.8400,98.4400,97.0400,97.4520,2900.0000,79.0829
11/05/2020,97.6640,97.6640,97.6640,97.6640,25.0000,79.2549
11/06/2020,96.1200,96.8800,95.9960,95.9960,1575.0000,77.9013
11/09/2020,93.0000,93.0000,92.1600,92.8840,500.0000,75.3759
11/10/2020,92.1200,92.5200,92.1200,92.5200,2050.0000,75.0805
11/11/2020,92.4800,92.6800,92.4800,92.6800,50.0000,75.2104
11/12/2020,93.6400,94.9680,93.6400,94.9680,150.0000,77.0671
11/13/2020,95.0000,95.0000,94.8120,94.9200,1775.0000,77.0281
11/16/2020,94.5600,94.6800,94.5600,94.6520,150.0000,76.8107
11/17/2020,95.3200,95.6800,95.3200,95.4960,250.0000,77.4955
11/18/2020,95.9600,95.9600,95.9600,95.9600,125.0000,77.8721
11/19/2020,96.5200,96.5960,96.5200,96.5960,50.0000,78.3882
11/20/2020,97.0000,97.9560,97.0000,97.9560,50.0000,79.4919
11/23/2020,97.4400,97.4400,97.2000,97.2560,6500.0000,78.9238
11/24/2020,96.6400,96.6400,95.8280,95.8280,425.0000,77.7650
11/25/2020,95.2640,95.2640,95.2640,95.2640,,77.3073
