Date,Open,High,Low,Close,Volume,Adj Close
01/28/2005,8.5460,8.5460,8.4920,8.5380,2888500.0000,8.5380
01/31/2005,8.4460,8.4620,8.3980,8.4540,759500.0000,8.4540
02/01/2005,8.4220,8.4280,8.3940,8.4240,347500.0000,8.4240
02/02/2005,8.4460,8.4460,8.4080,8.4460,1496500.0000,8.4460
02/03/2005,8.3160,8.3480,8.3020,8.3440,534000.0000,8.3440
02/04/2005,8.3200,8.3320,8.2840,8.3000,433500.0000,8.3000
02/07/2005,8.3140,8.3140,8.2500,8.2700,938000.0000,8.2700
02/08/2005,8.2560,8.2820,8.2180,8.2580,880500.0000,8.2580
02/09/2005,8.2180,8.2720,8.2080,8.2680,404500.0000,8.2680
02/10/2005,8.3020,8.3700,8.2960,8.3620,1060000.0000,8.3620
02/11/2005,8.3800,8.4360,8.3760,8.4240,271000.0000,8.4240
02/14/2005,8.4880,8.5300,8.4700,8.5240,361500.0000,8.5240
02/15/2005,8.4880,8.5260,8.4800,8.5180,179500.0000,8.5180
02/16/2005,8.4700,8.5300,8.4500,8.5120,208000.0000,8.5120
02/17/2005,8.5120,8.5700,8.5120,8.5480,536500.0000,8.5480
02/18/2005,8.5460,8.5740,8.5280,8.5680,248000.0000,8.5680
02/22/2005,8.6860,8.7260,8.6480,8.7200,312000.0000,8.7200
02/23/2005,8.6600,8.7160,8.6420,8.6960,572000.0000,8.6960
02/24/2005,8.7020,8.7020,8.6500,8.6860,453000.0000,8.6860
02/25/2005,8.7040,8.7160,8.6580,8.7080,324500.0000,8.7080
02/28/2005,8.7360,8.7560,8.7100,8.7220,696000.0000,8.7220
03/01/2005,8.6740,8.6740,8.6220,8.6560,746500.0000,8.6560
03/02/2005,8.6500,8.6760,8.6300,8.6640,224500.0000,8.6640
03/03/2005,8.6220,8.6320,8.5880,8.6120,284500.0000,8.6120
03/04/2005,8.6860,8.7100,8.6720,8.6860,221000.0000,8.6860
03/07/2005,8.6700,8.7040,8.6580,8.6960,260500.0000,8.6960
03/08/2005,8.7360,8.8160,8.7360,8.8100,622000.0000,8.8100
03/09/2005,8.7940,8.8480,8.7940,8.8160,442000.0000,8.8160
03/10/2005,8.8380,8.8540,8.8120,8.8460,251500.0000,8.8460
03/11/2005,8.8740,8.9380,8.8740,8.9000,640500.0000,8.9000
03/14/2005,8.8600,8.8600,8.7980,8.8120,716000.0000,8.8120
03/15/2005,8.8560,8.8560,8.7940,8.8160,310000.0000,8.8160
03/16/2005,8.8640,8.8780,8.8460,8.8740,393500.0000,8.8740
03/17/2005,8.7880,8.7900,8.7500,8.7740,382500.0000,8.7740
03/18/2005,8.7400,8.7940,8.7260,8.7900,146000.0000,8.7900
03/21/2005,8.6500,8.6540,8.5800,8.6200,532000.0000,8.6200
03/22/2005,8.6480,8.6560,8.5280,8.5400,262000.0000,8.5400
03/23/2005,8.5340,8.5380,8.4820,8.4940,582500.0000,8.4940
03/24/2005,8.5060,8.5160,8.4840,8.4940,565000.0000,8.4940
03/28/2005,8.5040,8.5200,8.4920,8.5160,135500.0000,8.5160
03/29/2005,8.5280,8.5300,8.5140,8.5220,135000.0000,8.5220
03/30/2005,8.5360,8.5600,8.5200,8.5280,131000.0000,8.5280
03/31/2005,8.5800,8.5800,8.5500,8.5760,80500.0000,8.5760
04/01/2005,8.5240,8.5280,8.5000,8.5260,347000.0000,8.5260
04/04/2005,8.4860,8.4880,8.4540,8.4840,89000.0000,8.4840
04/05/2005,8.5000,8.5060,8.4820,8.4960,93000.0000,8.4960
04/06/2005,8.5080,8.5480,8.5080,8.5360,341500.0000,8.5360
04/07/2005,8.5620,8.5680,8.5100,8.5180,200000.0000,8.5180
04/08/2005,8.5020,8.5400,8.4940,8.5360,214000.0000,8.5360
04/11/2005,8.5760,8.5880,8.5520,8.5600,210000.0000,8.5600
04/12/2005,8.5500,8.5660,8.5300,8.5600,80000.0000,8.5600
04/13/2005,8.5500,8.5860,8.5500,8.5840,75500.0000,8.5840
04/14/2005,8.4980,8.4980,8.4280,8.4760,82000.0000,8.4760
04/15/2005,8.4840,8.5200,8.4800,8.4940,80000.0000,8.4940
04/18/2005,8.5160,8.5600,8.5160,8.5460,91500.0000,8.5460
04/19/2005,8.5600,8.6720,8.5460,8.6660,432000.0000,8.6660
04/20/2005,8.6500,8.7140,8.6500,8.7000,83500.0000,8.7000
04/21/2005,8.6920,8.6920,8.6360,8.6360,177000.0000,8.6360
04/22/2005,8.7020,8.7060,8.6780,8.6940,79500.0000,8.6940
04/25/2005,8.6820,8.6980,8.6480,8.6860,307000.0000,8.6860
04/26/2005,8.7400,8.7460,8.7040,8.7420,352000.0000,8.7420
04/27/2005,8.7140,8.7140,8.6380,8.6460,423500.0000,8.6460
04/28/2005,8.6340,8.6560,8.6120,8.6120,172000.0000,8.6120
04/29/2005,8.6560,8.7280,8.6560,8.6860,341500.0000,8.6860
05/02/2005,8.6360,8.6400,8.5780,8.5940,103500.0000,8.5940
05/03/2005,8.5720,8.5720,8.5300,8.5600,111000.0000,8.5600
05/04/2005,8.5860,8.5900,8.5680,8.5880,186000.0000,8.5880
05/05/2005,8.6020,8.6040,8.5520,8.6000,167500.0000,8.6000
05/06/2005,8.5000,8.5240,8.4760,8.5180,244000.0000,8.5180
