Date,Open,High,Low,Close,Volume,Adj Close
02/26/2001,570.6250,600.3125,570.6250,597.7083,13755.0000,394.6548
02/27/2001,596.6667,603.3333,591.6667,598.6458,5730.0000,395.4103
02/28/2001,591.6667,595.0000,579.6875,583.6458,4380.0000,385.5239
03/01/2001,588.9583,594.6875,583.0208,583.0208,1995.0000,385.1118
03/02/2001,591.6667,608.0208,591.6667,608.0208,6705.0000,401.6252
03/05/2001,606.9792,623.3333,606.9792,619.0625,10560.0000,408.9186
03/06/2001,615.2083,630.0000,614.2708,628.9583,1950.0000,415.4551
03/07/2001,635.3125,650.0000,631.5625,649.0625,25410.0000,428.7355
03/08/2001,652.5000,656.3542,639.5833,650.6250,22590.0000,429.7670
03/09/2001,658.9583,658.9583,638.0208,640.8333,41505.0000,423.2993
03/12/2001,633.3333,638.4375,622.0833,623.3333,14490.0000,411.7395
03/13/2001,614.6875,618.6458,598.6458,605.3125,95775.0000,399.8361
03/14/2001,598.9583,615.8333,588.2292,595.5208,21165.0000,393.3681
03/15/2001,596.6667,596.6667,573.3333,574.3750,25545.0000,379.4008
03/16/2001,576.6667,586.6667,566.0417,566.0417,96855.0000,373.8959
03/19/2001,571.3542,590.8333,571.3542,584.6875,46560.0000,386.2125
03/20/2001,593.3333,606.4583,590.5208,590.5208,35370.0000,390.0659
03/21/2001,590.0000,590.0000,574.3750,576.6667,5730.0000,380.9144
03/22/2001,563.3333,563.3333,541.9792,562.2917,25320.0000,371.4191
03/23/2001,558.3333,583.3333,555.3125,571.6667,24525.0000,377.6115
03/26/2001,590.0000,590.0000,575.3125,584.4792,16575.0000,386.0750
03/27/2001,580.6250,581.3542,566.6667,572.2917,22065.0000,378.0247
03/28/2001,563.8542,567.2917,550.6250,552.1875,17100.0000,364.7574
03/29/2001,541.3542,541.3542,525.4167,528.6458,36195.0000,349.2068
03/30/2001,540.3125,544.6875,536.0417,537.8125,16545.0000,355.2619
04/02/2001,531.9792,531.9792,507.8125,511.4583,40830.0000,337.8531
04/03/2001,514.6875,518.3333,488.6458,490.0000,31905.0000,323.6782
04/04/2001,499.3750,517.2917,499.3750,510.0000,30885.0000,336.8896
04/05/2001,510.6250,536.6667,509.1667,531.7708,32220.0000,351.2707
04/06/2001,522.5000,538.5417,513.6458,531.3542,3660.0000,350.9956
04/09/2001,543.6667,551.6667,538.6667,545.7333,15390.0000,360.4940
04/10/2001,550.2667,561.8000,541.9333,558.6667,27390.0000,369.0377
04/11/2001,561.6667,565.3333,549.0000,549.0000,36630.0000,362.6521
04/12/2001,555.0000,562.8000,553.1334,556.2667,8400.0000,367.4520
04/16/2001,558.0000,567.3333,558.0000,564.0000,12885.0000,372.5604
04/17/2001,564.6667,573.3333,558.9333,572.6667,11085.0000,378.2856
04/18/2001,568.3333,577.4000,555.3333,557.3333,31965.0000,368.1570
04/19/2001,557.8666,557.8666,538.6667,540.2000,26115.0000,356.8388
04/20/2001,545.0000,557.0000,545.0000,553.3333,19440.0000,365.5142
04/23/2001,566.6667,575.2000,564.0000,571.1334,17250.0000,377.2727
04/24/2001,580.0000,581.8666,565.0667,570.6000,23325.0000,376.9201
04/25/2001,569.0000,582.4000,562.6667,582.4000,9060.0000,384.7147
04/26/2001,604.1334,616.7333,603.6667,612.3333,36585.0000,404.4878
04/27/2001,612.0000,613.0000,606.0667,606.4667,22125.0000,400.6735
04/30/2001,603.3333,625.3333,603.3333,618.4667,16770.0000,408.6015
05/01/2001,614.6667,614.6667,602.8666,606.6667,46770.0000,400.8055
05/02/2001,577.0000,581.3333,565.8666,568.3333,39300.0000,375.4800
05/03/2001,575.6667,575.6667,557.6667,567.4000,50715.0000,374.9693
05/04/2001,573.3333,582.6667,567.4000,579.6667,30630.0000,383.0757
05/07/2001,589.3333,590.0000,565.6667,569.8000,80595.0000,376.5549
05/08/2001,565.3333,570.7333,558.6667,568.6000,16185.0000,375.7621
05/09/2001,576.6667,581.8000,574.6667,581.4667,29145.0000,384.2657
05/10/2001,577.0000,583.1334,573.3333,576.8666,48615.0000,381.2251
05/11/2001,573.3333,573.3333,567.1334,569.1334,9180.0000,376.1147
05/14/2001,575.0000,586.6000,575.0000,585.3333,8940.0000,386.8206
05/15/2001,590.0000,601.8666,590.0000,601.0667,12255.0000,397.2181
05/16/2001,599.4000,609.2000,598.3333,606.0667,34530.0000,400.5218
05/17/2001,608.3333,626.6667,601.6667,626.2000,41535.0000,413.8275
