Date,Open,High,Low,Close,Volume,Adj Close
08/05/2010,25.0400,25.0750,25.0250,25.0550,9200.0000,16.8131
08/06/2010,25.1250,25.1400,25.0900,25.1100,19600.0000,16.8500
08/09/2010,25.1300,25.1300,25.0450,25.0950,46400.0000,16.8399
08/10/2010,25.0900,25.2500,25.0800,25.2400,43800.0000,16.9372
08/11/2010,25.2700,25.2850,25.2300,25.2400,44800.0000,16.9372
08/12/2010,25.2500,25.2500,25.0600,25.0850,208000.0000,16.8332
08/13/2010,25.1150,25.2050,25.0900,25.1700,259400.0000,16.8903
08/16/2010,25.3150,25.3150,25.2300,25.2500,120400.0000,16.9439
08/17/2010,25.2200,25.2300,25.1550,25.1800,162600.0000,16.8970
08/18/2010,25.2350,25.2350,25.1500,25.1500,56000.0000,16.8768
08/19/2010,25.1500,25.2200,25.1400,25.1800,33600.0000,16.8970
08/20/2010,25.1900,25.1900,25.1250,25.1250,39400.0000,16.8601
08/23/2010,25.1050,25.1700,25.0600,25.1700,31200.0000,16.8903
08/24/2010,25.2750,26.0750,25.1850,25.2400,52400.0000,16.9372
08/25/2010,25.3050,25.3050,25.2000,25.2350,69000.0000,16.9339
08/26/2010,25.2950,25.3900,25.2750,25.3900,30400.0000,17.0379
08/27/2010,25.3900,25.3900,25.2100,25.2100,96400.0000,16.9171
08/30/2010,25.3250,25.3500,25.2750,25.3250,50800.0000,16.9943
08/31/2010,25.4150,25.4150,25.3550,25.3800,41600.0000,17.0312
09/01/2010,25.3050,25.3050,25.1500,25.2850,71000.0000,16.9674
09/02/2010,25.2600,25.2700,25.2000,25.2400,24800.0000,16.9372
09/03/2010,25.1700,25.2200,25.1600,25.1950,26600.0000,16.9070
09/07/2010,25.3200,25.3650,25.2800,25.3650,35400.0000,17.0211
09/08/2010,25.3400,25.3400,25.2550,25.2900,34800.0000,16.9708
09/09/2010,25.2600,25.2600,25.1750,25.2050,47000.0000,16.9137
09/10/2010,25.2300,25.2800,25.2200,25.2250,31000.0000,16.9272
09/13/2010,25.2400,25.3850,25.2400,25.3650,20400.0000,17.0211
09/14/2010,25.4400,25.4400,25.4000,25.4150,53400.0000,17.0547
09/15/2010,25.3650,25.3950,25.3000,25.3150,43400.0000,16.9876
09/16/2010,25.2750,25.2750,25.1800,25.2300,53600.0000,16.9305
09/17/2010,25.2500,25.2800,25.2050,25.2150,22400.0000,16.9205
09/20/2010,25.2650,25.3300,25.2450,25.3050,48200.0000,16.9809
09/21/2010,25.3900,25.6400,25.3600,25.6250,94600.0000,17.1956
09/22/2010,25.7650,25.7900,25.6900,25.6950,30200.0000,17.2425
