Date,Open,High,Low,Close,Volume,Adj Close
07/30/2002,81.1200,81.1300,81.0000,81.0100,95300.0000,51.0234
07/31/2002,81.1700,81.3100,81.1500,81.2600,38800.0000,51.1808
08/01/2002,81.3300,81.4500,81.3300,81.4200,86800.0000,51.2816
08/02/2002,81.4600,81.6400,81.4000,81.5800,83400.0000,51.3824
08/05/2002,81.6300,81.7300,81.5700,81.7100,93100.0000,51.4643
08/06/2002,81.6100,81.6100,81.4500,81.5100,58200.0000,51.3384
08/07/2002,81.5900,81.6900,81.5400,81.6300,127000.0000,51.4139
08/08/2002,81.6100,81.6200,81.4700,81.5100,111800.0000,51.3384
08/09/2002,81.4800,81.5600,81.4600,81.5300,50900.0000,51.3510
08/12/2002,81.5100,81.5700,81.4700,81.5200,52300.0000,51.3446
08/13/2002,81.5900,81.6800,81.4800,81.6600,36200.0000,51.4328
08/14/2002,81.6900,81.7100,81.4600,81.4800,108700.0000,51.3194
08/15/2002,81.3800,81.5400,81.3000,81.4100,87700.0000,51.2753
08/16/2002,81.5400,81.5500,81.3100,81.3600,274500.0000,51.2438
08/19/2002,81.4100,81.4300,81.3100,81.3700,36000.0000,51.2502
08/20/2002,81.5100,81.5700,81.4600,81.5600,51400.0000,51.3698
08/21/2002,81.4600,81.5400,81.4200,81.4900,43100.0000,51.3257
08/22/2002,81.5000,81.5000,81.3800,81.4000,47700.0000,51.2690
08/23/2002,81.4800,81.5200,81.4400,81.5000,60900.0000,51.3320
08/26/2002,81.4900,81.5500,81.4500,81.4900,49700.0000,51.3257
08/27/2002,81.4000,81.4500,81.3500,81.4300,54700.0000,51.2879
08/28/2002,81.5100,81.5300,81.4600,81.4900,50600.0000,51.3257
08/29/2002,81.6400,81.6400,81.5500,81.5800,53700.0000,51.3824
08/30/2002,81.6300,81.6300,81.5200,81.6100,143800.0000,51.4013
09/03/2002,81.6200,81.7800,81.6100,81.6700,83000.0000,51.5231
09/04/2002,81.6700,81.7300,81.6000,81.6400,49500.0000,51.5042
09/05/2002,81.6900,81.7300,81.6400,81.7300,49000.0000,51.5609
09/06/2002,81.5500,81.6100,81.5300,81.5700,33700.0000,51.4599
09/09/2002,81.5200,81.5700,81.4500,81.4600,65200.0000,51.3906
09/10/2002,81.4400,81.5400,81.4200,81.5100,51000.0000,51.4221
09/11/2002,81.4000,81.4600,81.3600,81.4600,24700.0000,51.3906
09/12/2002,81.4800,81.5500,81.4600,81.5200,50100.0000,51.4285
09/13/2002,81.5500,81.5900,81.5200,81.5800,95100.0000,51.4663
09/16/2002,81.6100,81.6100,81.5400,81.5500,39000.0000,51.4474
09/17/2002,81.5200,81.6200,81.4800,81.6100,28800.0000,51.4852
09/18/2002,81.6400,81.7000,81.6000,81.6000,173700.0000,51.4790
09/19/2002,81.7600,81.7700,81.6600,81.7700,191100.0000,51.5861
09/20/2002,81.7400,81.7900,81.7000,81.7800,360800.0000,51.5924
09/23/2002,81.8200,81.8500,81.7500,81.8000,263600.0000,51.6051
09/24/2002,81.8700,81.9400,81.7800,81.8400,659400.0000,51.6303
09/25/2002,81.7900,81.8300,81.7000,81.7600,240400.0000,51.5799
09/26/2002,81.7600,81.8200,81.6900,81.7900,81100.0000,51.5988
09/27/2002,81.8500,81.9600,81.8100,81.9600,136200.0000,51.7060
09/30/2002,82.0300,82.1300,82.0000,82.0800,216900.0000,51.7818
10/01/2002,81.9100,82.0000,81.8400,81.8600,94100.0000,51.7186
10/02/2002,81.8900,81.9500,81.8300,81.9300,79400.0000,51.7628
10/03/2002,81.9000,81.9700,81.8000,81.9400,196500.0000,51.7691
10/04/2002,81.7700,81.9300,81.7600,81.8700,205600.0000,51.7248
10/07/2002,81.9700,81.9700,81.8800,81.9700,171600.0000,51.7880
10/08/2002,81.8500,82.0000,81.8500,81.8900,167100.0000,51.7375
10/09/2002,81.9900,82.0600,81.9200,82.0600,332800.0000,51.8449
10/10/2002,82.0300,82.0800,81.9300,81.9800,166200.0000,51.7943
10/11/2002,81.9500,81.9500,81.8000,81.8500,407000.0000,51.7122
10/14/2002,81.8200,81.8800,81.8200,81.8700,54500.0000,51.7248
10/15/2002,81.6700,81.7000,81.5400,81.5600,100800.0000,51.5290
10/16/2002,81.6500,81.6700,81.5500,81.5900,51300.0000,51.5480
10/17/2002,81.5200,81.5700,81.4800,81.5200,239200.0000,51.5038
10/18/2002,81.4900,81.5900,81.4100,81.5900,100600.0000,51.5480
10/21/2002,81.5600,81.5700,81.3700,81.4100,595800.0000,51.4343
10/22/2002,81.4700,81.4800,81.3700,81.4000,325800.0000,51.4279
10/23/2002,81.5000,81.5800,81.4300,81.4600,126700.0000,51.4658
10/24/2002,81.5100,81.6400,81.5000,81.6000,69400.0000,51.5543
10/25/2002,81.7100,81.7800,81.6600,81.7400,56000.0000,51.6427
10/28/2002,81.8900,81.9000,81.8300,81.8500,31100.0000,51.7122
10/29/2002,81.9400,82.0900,81.9300,82.0300,25000.0000,51.8259
10/30/2002,82.0100,82.1000,81.9700,82.0200,28800.0000,51.8196
10/31/2002,82.0300,82.1700,81.9900,82.1600,153700.0000,51.9081
11/01/2002,81.9700,82.0200,81.8600,81.9400,50300.0000,51.8530
11/04/2002,81.8500,81.9000,81.8300,81.8600,255200.0000,51.8024
11/05/2002,81.8900,81.8900,81.7800,81.8500,342100.0000,51.7961
11/06/2002,81.8400,81.9900,81.8000,81.8800,176100.0000,51.8150
11/07/2002,81.9000,81.9200,81.8400,81.9200,39900.0000,51.8404
11/08/2002,81.8600,81.9100,81.8300,81.8900,27800.0000,51.8214
11/11/2002,81.8700,81.9700,81.8600,81.9700,83800.0000,51.8720
11/12/2002,81.9400,82.0000,81.9300,81.9900,50300.0000,51.8847
11/13/2002,81.9400,82.0400,81.9400,82.0000,46400.0000,51.8910
11/14/2002,81.9400,81.9400,81.8000,81.8000,30900.0000,51.7644
11/15/2002,81.8000,81.8400,81.7500,81.8400,27500.0000,51.7897
11/18/2002,81.8000,81.8600,81.7700,81.8400,27300.0000,51.7897
11/19/2002,81.8500,81.8600,81.7800,81.8200,22400.0000,51.7771
11/20/2002,81.8800,81.8800,81.7000,81.7500,19400.0000,51.7328
11/21/2002,81.6800,81.7200,81.6300,81.6400,72500.0000,51.6632
11/22/2002,81.6600,81.6800,81.6100,81.6100,43400.0000,51.6442
11/25/2002,81.6200,81.7100,81.6100,81.6600,49100.0000,51.6758
11/26/2002,81.7200,81.8200,81.6900,81.8100,28500.0000,51.7707
11/27/2002,81.7300,81.7300,81.6100,81.6700,542100.0000,51.6822
11/29/2002,81.7200,81.7200,81.6700,81.7100,69100.0000,51.7075
12/02/2002,81.5000,81.6400,81.4200,81.6200,74100.0000,51.7265
12/03/2002,81.6600,81.6600,81.5800,81.6500,88900.0000,51.7455
12/04/2002,81.7100,81.7500,81.6200,81.7000,220000.0000,51.7772
12/05/2002,81.6700,81.7900,81.6300,81.7700,122300.0000,51.8215
12/06/2002,81.9100,81.9100,81.7800,81.8500,470600.0000,51.8723
12/09/2002,81.9000,81.9200,81.8400,81.8700,83500.0000,51.8849
