Date,Open,High,Low,Close,Volume,Adj Close
04/20/2010,44.4000,44.9100,44.1600,44.2200,17833.0000,37.0456
04/21/2010,44.5500,44.6700,44.1000,44.4900,29933.0000,37.2718
04/22/2010,44.1300,46.2000,43.7400,44.4000,19700.0000,37.1964
04/23/2010,45.0000,45.6000,44.1000,45.6000,233400.0000,38.2017
04/26/2010,47.5500,47.5500,45.3300,45.4800,158567.0000,38.1012
04/27/2010,45.0600,45.6300,44.1600,44.5800,302900.0000,37.3472
04/28/2010,44.6700,45.3600,44.3100,45.0000,215100.0000,37.6991
04/29/2010,45.5100,45.9300,45.1500,45.6900,103567.0000,38.2771
04/30/2010,46.1100,46.5300,45.5700,45.6000,182633.0000,38.2017
05/03/2010,46.0500,46.4100,45.2100,45.5400,101100.0000,38.1515
05/04/2010,45.1800,45.2100,43.0800,43.5300,195567.0000,36.4676
05/05/2010,42.5700,43.7100,41.1900,43.3200,116933.0000,36.2916
05/06/2010,43.7100,44.0400,40.8000,42.7500,89133.0000,35.8141
05/07/2010,43.4700,44.2500,41.4900,42.6900,50733.0000,35.7639
05/10/2010,43.6500,44.7600,43.4700,44.4300,41667.0000,37.2215
05/11/2010,45.0000,46.7700,45.0000,46.3800,126067.0000,38.8552
05/12/2010,48.3300,48.3300,47.2500,47.6100,133900.0000,39.8856
05/13/2010,48.2100,48.2100,46.7100,46.8000,100267.0000,39.2070
05/14/2010,47.8800,47.8800,45.3900,46.8300,141733.0000,39.2322
05/17/2010,47.0100,47.4900,44.7600,45.5100,156833.0000,38.1263
05/18/2010,46.6200,46.6200,44.7000,44.9400,95633.0000,37.6488
05/19/2010,44.1600,44.4000,41.7300,42.7200,129233.0000,35.7890
05/20/2010,41.1900,41.6100,39.9900,40.2300,102800.0000,33.7030
05/21/2010,38.7000,41.3700,38.7000,40.6500,58700.0000,34.0548
05/24/2010,41.7900,42.2100,40.8300,40.8300,20233.0000,34.2056
05/25/2010,39.4800,41.2200,39.4800,41.1300,36767.0000,34.4570
05/26/2010,42.6300,42.9600,41.6400,41.9100,46933.0000,35.1104
05/27/2010,43.0200,43.5600,42.3900,43.5600,22533.0000,36.4927
05/28/2010,43.8600,44.0400,42.9000,43.0500,17667.0000,36.0655
06/01/2010,42.2100,44.0100,42.2100,42.2400,25033.0000,35.3869
06/02/2010,42.1500,43.2300,41.9700,43.2000,39400.0000,36.1911
06/03/2010,43.5000,43.5000,42.4500,42.9300,16867.0000,35.9649
06/04/2010,42.3300,42.3300,41.4600,41.5500,25067.0000,34.8088
06/07/2010,41.9100,42.6000,41.0400,41.9100,44100.0000,35.1104
06/08/2010,42.1500,43.5600,42.1500,43.1700,36633.0000,36.1660
06/09/2010,44.2800,44.2800,43.0200,43.2000,41800.0000,36.1911
06/10/2010,43.4100,44.2500,43.4100,44.0700,38133.0000,36.9200
06/11/2010,44.0700,44.3400,43.0500,44.2500,13333.0000,37.0708
06/14/2010,44.9100,45.1800,44.3700,44.4300,23033.0000,37.2215
06/15/2010,44.9400,45.6600,44.8500,45.6600,10033.0000,38.2520
06/16/2010,45.8100,45.8100,45.0300,45.6000,29700.0000,38.2017
06/17/2010,46.5300,46.5300,45.6900,46.3500,43433.0000,38.8300
06/18/2010,47.2500,47.5500,46.5900,47.4300,42800.0000,39.7348
06/21/2010,48.0000,48.2700,46.0500,46.1400,48567.0000,38.6541
06/22/2010,46.3800,46.6500,45.6000,45.7500,28100.0000,38.3274
06/23/2010,46.1400,46.1400,45.0900,46.1400,11033.0000,38.6541
06/24/2010,45.6000,45.9600,45.1500,45.1500,54000.0000,37.8247
06/25/2010,45.7500,46.7700,45.6900,46.6200,44533.0000,39.0562
06/28/2010,47.3100,47.4000,46.1100,46.3200,54400.0000,38.8049
06/29/2010,45.2700,45.7500,44.0700,44.2500,35200.0000,37.0708
06/30/2010,44.9400,44.9400,43.5300,43.6500,24000.0000,36.5681
07/01/2010,43.6500,43.9500,41.7900,42.7200,54833.0000,35.7890
07/02/2010,43.1700,43.1700,42.1500,42.3900,22900.0000,35.5125
07/06/2010,42.6600,42.7500,41.7000,41.8200,28867.0000,35.0350
07/07/2010,41.8200,43.6500,41.8200,43.6500,20733.0000,36.5681
07/08/2010,44.1600,44.1600,42.9600,43.4100,13033.0000,36.3670
07/09/2010,43.7100,44.6100,43.6800,44.5200,15133.0000,37.2970
07/12/2010,44.0700,44.6400,43.7400,43.8000,10433.0000,36.6938
07/13/2010,44.8200,45.0000,44.4000,44.4300,13300.0000,37.2215
07/14/2010,44.1600,44.9700,44.0400,44.4600,15633.0000,37.2467
07/15/2010,45.0000,45.0000,44.0400,44.6100,4367.0000,37.3724
07/16/2010,43.9800,43.9800,42.8400,42.9600,23867.0000,35.9901
07/19/2010,42.6900,42.7200,41.7000,41.8500,28967.0000,35.0601
07/20/2010,41.6400,42.9600,41.4000,42.7800,19133.0000,35.8393
07/21/2010,43.0200,43.5600,42.5700,42.6900,11333.0000,35.7639
07/22/2010,42.8700,43.9500,42.7800,43.8000,19267.0000,36.6938
07/23/2010,43.9500,44.1600,43.6500,44.0700,15467.0000,36.9200
07/26/2010,44.1600,45.6300,43.7100,44.0100,24133.0000,36.8697
07/27/2010,43.8000,43.9500,42.8100,43.1400,54367.0000,36.1408
07/28/2010,42.7200,43.3800,42.5400,43.2600,31833.0000,36.2414
07/29/2010,43.6800,43.7100,42.7500,43.0800,29500.0000,36.0906
07/30/2010,42.6600,43.8300,42.6600,43.5600,30167.0000,36.4927
08/02/2010,44.7900,44.8500,44.1300,44.5200,46433.0000,37.2970
08/03/2010,44.8500,45.0900,44.5200,45.0900,27400.0000,37.7745
08/04/2010,45.6000,46.0200,45.1500,45.9000,35333.0000,38.4531
08/05/2010,45.4800,45.7800,45.1800,45.4500,56800.0000,38.0761
08/06/2010,45.6900,46.0200,45.3300,45.4800,46267.0000,38.1012
08/09/2010,46.4700,46.4700,45.1800,45.6900,52733.0000,38.2771
08/10/2010,44.7900,45.6300,44.3400,45.5400,40433.0000,38.1515
08/11/2010,44.8500,44.9100,43.8600,44.1600,56633.0000,36.9954
08/12/2010,43.9200,44.7000,43.9200,44.5500,36867.0000,37.3221
08/13/2010,44.5500,44.5500,43.9500,44.0400,27767.0000,36.8948
08/16/2010,43.9500,44.7300,43.9500,44.5800,52700.0000,37.3472
08/17/2010,45.3300,45.7200,44.8200,45.5700,29733.0000,38.1766
08/18/2010,45.4500,46.1100,44.5500,45.9300,25533.0000,38.4782
08/19/2010,46.1700,46.2900,45.3600,45.6900,28367.0000,38.2771
08/20/2010,44.7900,45.6300,44.7900,45.5400,23533.0000,38.1515
08/23/2010,46.0500,46.0500,44.7600,44.9700,18133.0000,37.6739
08/24/2010,43.7400,44.8800,43.7400,44.1900,56000.0000,37.0205
08/25/2010,44.4000,45.6600,44.2200,45.6600,51667.0000,38.2520
08/26/2010,46.2000,47.0400,45.9300,46.4700,72300.0000,38.9306
08/27/2010,47.0700,47.7300,46.2600,47.6400,90733.0000,39.9108
08/30/2010,48.5100,48.5100,47.1300,47.3400,37667.0000,39.6594
08/31/2010,47.7600,48.6600,47.7000,47.9100,68367.0000,40.1369
09/01/2010,49.2300,49.4100,48.3600,48.6000,113933.0000,40.7150
09/02/2010,48.7800,49.2600,48.4500,49.2300,77100.0000,41.2428
09/03/2010,50.1900,50.2800,48.9300,50.2500,91700.0000,42.0973
09/07/2010,50.1600,50.4600,49.8300,50.0700,77500.0000,41.9465
09/08/2010,50.7000,50.9700,50.4300,50.5500,84400.0000,42.3486
09/09/2010,50.9400,51.0000,49.5000,49.8300,110600.0000,41.7455
09/10/2010,50.2200,50.8200,49.9200,50.8200,41133.0000,42.5748
09/13/2010,51.3300,51.9000,51.2700,51.5700,62733.0000,43.2031
09/14/2010,52.3500,54.0900,51.8700,53.4900,157333.0000,44.8116
09/15/2010,53.3700,53.9400,52.9500,53.6400,82633.0000,44.9373
09/16/2010,53.7000,54.3300,53.7000,54.2100,66200.0000,45.4148
09/17/2010,54.3600,54.9900,53.4300,53.8800,65833.0000,45.1384
09/20/2010,54.6600,54.6600,54.0600,54.2400,84900.0000,45.4400
09/21/2010,54.2700,54.7200,53.1300,54.4500,102500.0000,45.6159
09/22/2010,54.9300,55.5900,54.9000,55.5300,112800.0000,46.5207
09/23/2010,55.4700,55.7700,54.5700,55.2300,82667.0000,46.2693
09/24/2010,56.9100,56.9100,55.9800,56.2800,175733.0000,47.1490
09/27/2010,56.8200,56.8200,55.8900,56.0700,73400.0000,46.9730
09/28/2010,55.7700,56.6100,54.6000,56.4900,174467.0000,47.3249
09/29/2010,56.9400,56.9400,56.1000,56.3100,147033.0000,47.1741
09/30/2010,56.9700,56.9700,55.2300,55.9200,91600.0000,46.8474
10/01/2010,56.7300,56.9400,56.2800,56.4900,94833.0000,47.3249
10/04/2010,56.3700,56.5200,55.2900,55.5600,65767.0000,46.5458
10/05/2010,56.8500,57.7200,56.6100,57.6000,122833.0000,48.2548
10/06/2010,57.9900,58.9800,57.6300,58.8300,144833.0000,49.2853
10/07/2010,59.4600,59.5200,56.9700,57.4800,202700.0000,48.1543
10/08/2010,57.3000,58.1100,56.9400,58.0500,98967.0000,48.6318
10/11/2010,58.3500,58.6200,57.7200,58.2900,102733.0000,48.8329
10/12/2010,57.7200,58.4400,57.0000,58.2900,144467.0000,48.8329
10/13/2010,59.4000,60.5100,58.4100,60.2400,185000.0000,50.4665
10/14/2010,61.4700,61.5000,60.4800,60.8700,156333.0000,50.9943
10/15/2010,60.8100,60.9600,59.2800,60.5700,199067.0000,50.7430
10/18/2010,60.2100,60.4500,59.1000,60.4200,89300.0000,50.6173
10/19/2010,58.3500,58.7100,56.2200,56.6400,183633.0000,47.4506
10/20/2010,56.9100,58.3200,56.5200,57.9600,110633.0000,48.5564
10/21/2010,58.4100,58.6500,56.4900,57.1500,147233.0000,47.8778
10/22/2010,57.1800,57.5700,56.5200,57.5400,55000.0000,48.2046
10/25/2010,59.2800,59.4300,58.7100,59.1300,151400.0000,49.5366
10/26/2010,58.8900,59.8800,58.2300,59.6400,76800.0000,49.9638
10/27/2010,59.0400,59.0400,57.6300,58.8600,96367.0000,49.3104
10/28/2010,59.7300,60.0000,58.9200,59.4600,76500.0000,49.8130
10/29/2010,59.9100,60.9600,59.8200,60.8700,121933.0000,50.9943
11/01/2010,61.7700,62.0100,60.8100,61.6200,186367.0000,51.6226
11/02/2010,62.3400,62.6100,61.7100,62.5800,99733.0000,52.4268
11/03/2010,62.8500,63.0000,60.9000,62.8500,188367.0000,52.6530
