Date,Open,High,Low,Close,Volume,Adj Close
07/13/2001,24.1000,24.5300,23.5267,24.2167,603300.0000,19.8851
07/16/2001,23.7833,23.8500,22.8133,22.8133,180000.0000,18.7328
07/17/2001,22.6500,23.7500,22.6333,23.7500,287100.0000,19.5019
07/18/2001,23.0333,23.2033,22.7667,22.7667,301800.0000,18.6945
07/19/2001,24.1333,24.2333,23.7333,23.7333,405000.0000,19.4882
07/20/2001,23.2500,23.6333,23.2500,23.6167,360000.0000,19.3924
07/23/2001,23.7500,23.7500,22.9000,22.9000,195300.0000,18.8039
07/24/2001,22.7667,22.7667,22.2667,22.2833,150300.0000,18.2976
07/25/2001,22.2000,22.6167,21.8833,21.8833,179100.0000,17.9691
07/26/2001,22.8500,24.1500,22.7667,23.9167,281700.0000,19.6388
07/27/2001,24.1667,24.7333,24.1667,24.4700,121500.0000,20.0931
07/30/2001,24.5967,24.8467,24.4300,24.6333,7800.0000,20.2272
07/31/2001,25.1333,25.1333,24.6333,24.6333,152100.0000,20.2272
08/01/2001,25.5833,26.2333,25.5833,25.9167,28500.0000,21.2810
08/02/2001,26.5667,26.6500,26.3833,26.4167,64800.0000,21.6916
08/03/2001,26.4167,26.4167,25.9167,26.0833,9600.0000,21.4179
08/06/2001,25.5167,25.7167,25.4667,25.6167,21900.0000,21.0347
08/07/2001,25.2000,25.2200,25.0000,25.2200,18600.0000,20.7090
08/08/2001,25.1133,25.5167,24.9333,24.9333,18900.0000,20.4736
08/09/2001,24.0000,24.2500,24.0000,24.2500,3000.0000,19.9125
08/10/2001,24.2000,24.3333,24.2000,24.3000,12600.0000,19.9535
08/13/2001,24.8333,24.9333,24.7000,24.8833,24300.0000,20.4325
08/14/2001,25.0667,25.0667,24.9833,24.9833,4200.0000,20.5146
08/15/2001,24.5833,24.5833,24.0067,24.0067,6300.0000,19.7127
08/16/2001,23.3333,23.7000,23.1000,23.7000,13500.0000,19.4608
08/17/2001,23.3333,23.3333,22.8667,22.8667,1500.0000,18.7766
08/20/2001,23.0000,23.1500,22.8500,23.1167,32700.0000,18.9819
08/21/2001,23.1000,23.1000,22.5333,22.5333,4200.0000,18.5029
08/22/2001,22.7300,23.2333,22.5000,23.2333,8400.0000,19.0777
08/23/2001,23.3700,23.6633,23.3100,23.3500,3000.0000,19.1735
08/24/2001,23.7567,24.4833,23.6667,24.3567,1200.0000,20.0001
08/27/2001,24.5000,25.1300,24.5000,24.9000,12300.0000,20.4462
08/28/2001,24.4500,24.5500,24.3167,24.3167,3000.0000,19.9672
08/29/2001,24.4333,24.4333,23.4667,23.4667,900.0000,19.2692
08/30/2001,22.5500,22.8333,22.5000,22.8333,3600.0000,18.7492
08/31/2001,22.6667,23.1600,22.6667,22.9467,6000.0000,18.8423
09/04/2001,22.8667,23.1567,22.3333,22.3333,3300.0000,18.3386
09/05/2001,22.2467,22.2467,21.5333,21.5667,22500.0000,17.7091
09/06/2001,21.3333,21.6667,20.4667,20.5667,792000.0000,16.8880
09/07/2001,20.3833,21.2267,20.3833,20.7167,9900.0000,17.0111
09/10/2001,20.6133,20.9133,20.6133,20.6967,3900.0000,16.9947
09/17/2001,19.0000,19.5933,18.8000,18.8000,24600.0000,15.4373
09/18/2001,18.7500,18.9067,18.5033,18.9067,1200.0000,15.5249
09/19/2001,17.1233,17.3167,15.9000,17.3167,40200.0000,14.2193
09/20/2001,16.5500,17.0667,16.2000,16.2000,51000.0000,13.3024
09/21/2001,15.1333,16.1000,15.1333,15.4167,11400.0000,12.6591
09/24/2001,16.3333,16.9500,16.3333,16.9500,28500.0000,13.9182
09/25/2001,17.2333,17.2333,16.5000,16.5000,12900.0000,13.5487
09/26/2001,16.9000,16.9000,16.0000,16.0333,9600.0000,13.1655
09/27/2001,15.3333,15.5500,14.9633,15.5500,3600.0000,12.7686
09/28/2001,15.9167,16.1667,15.6333,15.9833,14400.0000,13.1244
10/01/2001,15.7333,15.7333,15.4500,15.4500,5100.0000,12.6865
10/02/2001,15.7500,15.7500,15.1667,15.1667,12900.0000,12.4538
10/03/2001,15.0000,16.7833,14.9667,16.6167,12900.0000,13.6445
10/04/2001,17.0000,17.9800,16.6333,17.5833,22800.0000,14.4383
10/05/2001,17.3333,17.8000,16.6333,17.6900,23700.0000,14.5258
10/08/2001,17.3333,18.5667,17.3000,18.4000,49200.0000,15.1088
10/09/2001,17.9667,17.9667,17.5167,17.5667,22200.0000,14.4246
