Date,Open,High,Low,Close,Volume,Adj Close
08/20/2009,49.3000,49.3300,49.1400,49.1500,,41.5762
08/21/2009,49.2800,50.1700,49.2800,50.1700,,42.4391
08/24/2009,50.4700,50.4700,49.3100,49.4300,,41.8131
08/25/2009,49.3500,51.1200,48.9800,48.9800,,41.4324
08/26/2009,48.9600,49.0400,48.6600,48.8200,16400.0000,41.2971
08/27/2009,48.9900,49.0400,48.7600,49.0200,12400.0000,41.4663
08/28/2009,49.3500,49.3800,48.7600,48.7600,29800.0000,41.2463
08/31/2009,48.8500,49.0400,48.5600,48.5900,13900.0000,41.1025
09/01/2009,48.9900,49.2000,48.5400,48.7300,17200.0000,41.2209
09/02/2009,48.8000,48.9300,48.0000,48.0500,270000.0000,40.6457
09/03/2009,48.4200,48.4400,48.2500,48.4000,64400.0000,40.9418
09/04/2009,48.5500,49.2100,48.4800,49.2000,97200.0000,41.6185
09/08/2009,49.5600,49.5600,49.0900,49.4900,142200.0000,41.8638
09/09/2009,49.8000,49.9700,49.5600,49.5600,20200.0000,41.9231
09/10/2009,49.2300,49.2400,48.2800,48.5700,45200.0000,41.0856
09/11/2009,48.2600,48.3500,47.8500,48.3300,44700.0000,40.8826
09/14/2009,48.6600,48.8200,48.3600,48.8000,19500.0000,41.2802
09/15/2009,49.0600,49.1200,48.7600,49.0700,32300.0000,41.5086
09/16/2009,48.9600,49.2700,48.7000,48.9300,39800.0000,41.3901
09/17/2009,48.7700,48.8500,48.2600,48.2800,23600.0000,40.8403
09/18/2009,48.5500,48.9600,48.3700,48.7500,49600.0000,41.2379
09/21/2009,48.5600,48.9700,48.4100,48.7000,37200.0000,41.1956
09/22/2009,48.8500,48.8600,48.4000,48.5000,10900.0000,41.0264
09/23/2009,48.6500,48.9300,48.3400,48.4400,64600.0000,40.9756
09/24/2009,48.3500,48.4400,48.1000,48.2000,34600.0000,40.7726
09/25/2009,47.9300,48.1200,47.5800,47.6300,37700.0000,40.2905
09/28/2009,47.4700,47.5200,47.1500,47.1700,65300.0000,39.9013
09/29/2009,47.4800,47.4800,47.0400,47.1800,68200.0000,39.9098
09/30/2009,47.3100,47.3500,47.0800,47.2600,34900.0000,39.9775
10/01/2009,46.9700,47.0400,46.5000,46.6900,47900.0000,39.4953
10/02/2009,46.3600,47.0300,46.3600,46.9700,118200.0000,39.7322
10/05/2009,46.7800,47.0500,46.6200,46.9400,272500.0000,39.7068
10/06/2009,47.0100,47.4000,47.0000,47.3700,140800.0000,40.0705
10/07/2009,47.0600,47.0700,46.7500,46.8300,41500.0000,39.6137
10/08/2009,46.5700,47.5200,46.5600,47.4200,590000.0000,40.1128
10/09/2009,47.6600,48.6500,47.5400,48.4300,203400.0000,40.9672
10/12/2009,48.5300,48.5400,48.2300,48.3100,66600.0000,40.8657
10/13/2009,48.0800,48.1800,47.9000,48.1200,62300.0000,40.7049
10/14/2009,48.5800,48.8200,48.3200,48.8000,104900.0000,41.2802
10/15/2009,49.0300,49.8000,48.6000,49.0000,199500.0000,41.4494
10/16/2009,48.7300,48.8800,48.5000,48.5100,92100.0000,41.0349
10/19/2009,48.4700,48.5900,48.1600,48.2000,50100.0000,40.7726
10/20/2009,47.7700,47.9700,47.6500,47.9300,69400.0000,40.5442
10/21/2009,48.0900,48.4600,48.0900,48.0900,88000.0000,40.6796
10/22/2009,48.5000,48.5300,48.3300,48.4000,56300.0000,40.9418
10/23/2009,48.8100,48.8200,48.5300,48.7700,55500.0000,41.2548
10/26/2009,49.0300,49.4600,48.9500,49.4100,65300.0000,41.7962
10/27/2009,49.2800,49.2800,48.6500,48.7200,350400.0000,41.2125
10/28/2009,48.6600,48.6600,48.2900,48.4600,299800.0000,40.9926
10/29/2009,48.7900,49.2100,48.6600,49.0000,158400.0000,41.4494
10/30/2009,48.6200,48.6900,48.1700,48.2700,163100.0000,40.8318
11/02/2009,48.2800,48.6000,48.2100,48.4200,101600.0000,40.9587
11/03/2009,48.3500,49.0200,48.3300,48.9900,650500.0000,41.4409
11/04/2009,49.2400,49.5900,48.9700,49.3400,162200.0000,41.7369
11/05/2009,49.5700,49.6000,49.3400,49.3800,203400.0000,41.7708
11/06/2009,49.2700,49.7700,49.2300,49.3200,213500.0000,41.7200
11/09/2009,49.3300,49.3700,49.0500,49.2600,324000.0000,41.6693
11/10/2009,48.8900,49.4900,48.8500,49.3500,83500.0000,41.7454
11/11/2009,49.0600,49.2100,48.8600,49.0900,39100.0000,41.5255
11/12/2009,49.2600,49.7900,49.1200,49.2100,99100.0000,41.6270
11/13/2009,49.0500,49.1900,48.8900,48.9800,61700.0000,41.4324
11/16/2009,48.6000,48.6300,48.1800,48.3100,75400.0000,40.8657
11/17/2009,48.3500,48.4500,47.9800,48.1100,52600.0000,40.6965
11/18/2009,48.1600,48.4800,48.1300,48.4000,32800.0000,40.9418
11/19/2009,48.1800,48.4200,47.9300,48.2900,173300.0000,40.8488
11/20/2009,48.3500,48.5200,48.1900,48.3000,36600.0000,40.8572
11/23/2009,48.5100,48.6500,48.2900,48.3500,35500.0000,40.8995
11/24/2009,48.2400,48.3000,48.0000,48.0500,58500.0000,40.6457
11/25/2009,48.0900,48.3200,47.7300,47.8100,132400.0000,40.4427
11/27/2009,47.6600,47.7700,47.5600,47.5800,45000.0000,40.2482
11/30/2009,47.7600,47.7900,47.5100,47.5200,80100.0000,40.1974
12/01/2009,47.7900,48.0600,47.7500,48.0600,31400.0000,40.6542
12/02/2009,47.9800,48.1500,47.6700,47.9600,78300.0000,40.5696
12/03/2009,48.4100,48.5000,48.2100,48.4700,89700.0000,41.0010
12/04/2009,49.0500,49.2000,48.8400,49.0700,189500.0000,41.5086
12/07/2009,49.9700,49.9700,48.8400,49.0500,1141500.0000,41.4916
12/08/2009,48.6400,48.9600,48.4600,48.9100,299900.0000,41.3732
12/09/2009,48.8200,49.3200,48.6200,49.0200,131800.0000,41.4663
12/10/2009,49.3400,49.6600,49.2600,49.6200,148700.0000,41.9738
12/11/2009,49.7900,50.0200,49.5600,49.6900,171100.0000,42.0330
12/14/2009,49.5400,49.6200,49.4300,49.5800,144500.0000,41.9400
12/15/2009,49.9200,49.9500,49.7000,49.8300,131400.0000,42.1515
12/16/2009,49.7400,49.9800,49.5600,49.8200,85200.0000,42.1430
12/17/2009,49.4000,49.5000,48.9600,48.9600,258000.0000,41.4155
12/18/2009,48.9900,49.2800,48.8000,49.2500,144600.0000,41.6608
12/21/2009,49.6300,50.0700,49.5200,50.0700,139200.0000,42.3545
12/22/2009,50.2900,50.4600,50.2200,50.3400,274700.0000,42.5829
12/23/2009,50.1900,50.4200,49.9200,50.3700,99100.0000,42.6082
12/24/2009,50.5400,50.9200,50.5000,50.8900,68500.0000,43.0481
12/28/2009,51.0200,51.0700,50.8800,50.9900,157000.0000,43.1327
12/29/2009,50.9200,50.9400,50.5500,50.6300,138900.0000,42.8282
12/30/2009,50.5300,50.5600,50.2200,50.2800,134300.0000,42.5321
12/31/2009,50.6000,50.9600,50.4000,50.5100,182900.0000,42.7267
01/04/2010,50.5600,50.7000,50.4200,50.5600,207200.0000,42.7690
01/05/2010,50.4500,50.4500,50.1000,50.1800,133200.0000,42.4475
01/06/2010,50.2800,50.9300,50.2800,50.8900,186500.0000,43.0481
01/07/2010,50.9200,50.9300,50.6300,50.8500,114400.0000,43.0143
01/08/2010,50.7200,51.1100,50.7200,50.8200,160700.0000,42.9889
01/11/2010,51.0200,51.1500,50.8000,51.0600,155800.0000,43.1919
01/12/2010,50.3200,50.4900,50.1700,50.2000,318300.0000,42.4644
01/13/2010,50.4600,50.8100,50.2200,50.7500,80800.0000,42.9297
01/14/2010,50.5700,50.6400,50.0800,50.1000,303100.0000,42.3798
01/15/2010,49.8100,49.8300,49.6300,49.8300,143300.0000,42.1515
01/19/2010,49.9900,50.0800,49.7500,49.9100,118600.0000,42.2191
01/20/2010,49.6300,49.6300,49.3500,49.4300,104100.0000,41.8131
01/21/2010,49.5200,49.5200,49.0300,49.1300,168300.0000,41.5593
01/22/2010,49.2300,49.3300,49.0700,49.2100,283400.0000,41.6270
01/25/2010,49.4800,49.4900,49.2500,49.4100,217000.0000,41.7962
01/26/2010,49.1800,49.5200,49.1200,49.4000,73800.0000,41.7877
01/27/2010,49.3400,49.4500,49.1400,49.4000,119500.0000,41.7877
01/28/2010,49.7200,49.7200,49.3400,49.4200,251700.0000,41.8046
01/29/2010,49.4600,49.5300,48.9500,49.0200,598500.0000,41.4663
02/01/2010,49.1100,49.4900,49.1100,49.4400,155800.0000,41.8215
02/02/2010,49.4500,49.5000,49.3000,49.3600,135800.0000,41.7539
02/03/2010,49.6500,49.9300,49.5800,49.8800,94700.0000,42.1937
02/04/2010,49.5500,49.5500,49.0200,49.0700,94900.0000,41.5086
02/05/2010,49.2600,49.3200,48.7200,48.9900,90200.0000,41.4409
02/08/2010,49.0300,49.1100,48.8900,48.9000,231300.0000,41.3648
02/09/2010,49.0700,49.3800,48.8700,49.3600,69000.0000,41.7539
02/10/2010,49.2500,49.9000,49.1800,49.8300,106600.0000,42.1515
02/11/2010,49.9300,50.3700,49.8800,50.1400,131000.0000,42.4137
02/12/2010,49.8700,50.0400,49.8000,49.9400,63500.0000,42.2445
02/16/2010,50.1600,50.1600,49.7700,49.8000,124000.0000,42.1261
02/17/2010,50.0900,50.4900,49.9700,50.3400,127700.0000,42.5829
02/18/2010,50.3100,50.7700,50.2500,50.5800,205700.0000,42.7859
02/19/2010,50.4300,50.5900,50.2500,50.3400,124100.0000,42.5829
02/22/2010,50.4900,50.5600,50.3800,50.4500,126400.0000,42.6759
02/23/2010,50.3600,50.3600,49.6600,49.7100,207600.0000,42.0499
02/24/2010,49.6700,49.8500,49.4800,49.5900,143800.0000,41.9484
02/25/2010,49.3300,49.4300,49.2500,49.3100,204200.0000,41.7116
02/26/2010,49.1500,49.2600,48.8300,49.0400,644900.0000,41.4832
03/01/2010,49.0100,49.2300,48.9200,49.0200,85500.0000,41.4663
03/02/2010,49.2700,49.3700,49.0800,49.1000,118700.0000,41.5339
03/03/2010,49.1900,49.3700,49.1800,49.2100,85500.0000,41.6270
03/04/2010,49.2600,49.3100,48.8900,49.0100,52400.0000,41.4578
03/05/2010,49.2800,49.6800,49.2700,49.6600,98200.0000,42.0076
03/08/2010,49.8300,49.8900,49.7600,49.8800,103700.0000,42.1937
03/09/2010,49.7800,50.0300,49.7300,49.8200,102600.0000,42.1430
03/10/2010,50.0200,50.1500,49.8800,49.9300,94800.0000,42.2360
03/11/2010,50.0300,50.0500,49.6700,49.7800,73100.0000,42.1091
