Date,Open,High,Low,Close,Volume,Adj Close
05/22/2008,280.7200,286.8400,280.4400,283.5600,40125.0000,236.0242
05/23/2008,281.2000,281.5600,278.2800,280.4000,31450.0000,233.3939
05/27/2008,284.6000,285.2000,282.4000,284.5200,27650.0000,236.8232
05/28/2008,289.4000,291.1200,287.7600,290.8000,40050.0000,242.0505
05/29/2008,292.6800,298.3200,292.0000,294.3600,81600.0000,245.0136
05/30/2008,291.2800,291.9600,288.9200,290.8800,42500.0000,242.1171
06/02/2008,290.0000,300.0000,285.5600,287.6400,31425.0000,239.4202
06/03/2008,292.8800,292.8800,281.2000,283.6400,34450.0000,236.0907
06/04/2008,283.2000,290.0000,280.5600,288.6000,26475.0000,240.2192
06/05/2008,290.2400,293.1600,289.5600,292.2400,26550.0000,243.2491
06/06/2008,286.3200,287.6800,282.6400,284.4000,37200.0000,236.7233
06/09/2008,287.2000,288.2800,281.2000,285.0000,32250.0000,237.2227
06/10/2008,286.7200,291.8400,285.2000,289.6000,31175.0000,241.0516
06/11/2008,288.9600,292.0000,285.3600,289.7200,43350.0000,241.1515
06/12/2008,294.0400,297.6000,290.4800,295.9200,82600.0000,246.3121
06/13/2008,296.9200,298.4000,293.4000,298.0400,38675.0000,248.0768
06/16/2008,296.0000,299.1200,296.0000,297.3600,36275.0000,247.5107
06/17/2008,295.8000,298.9200,294.8000,295.9600,15950.0000,246.3454
06/18/2008,295.8000,295.8000,290.0000,290.7200,33000.0000,241.9838
06/19/2008,294.0000,296.2800,291.9200,295.1200,35625.0000,245.6462
06/20/2008,290.0400,291.6800,288.7600,290.8800,33000.0000,242.1171
06/23/2008,289.8400,290.6000,287.2800,289.8000,22350.0000,241.2181
06/24/2008,287.0000,288.4400,284.8000,285.2000,75125.0000,237.3893
06/25/2008,285.6000,290.8000,285.4000,285.8400,39450.0000,237.9219
06/26/2008,284.0000,285.2800,280.6000,282.1600,49975.0000,234.8588
06/27/2008,279.0000,280.6800,274.2000,274.9200,102000.0000,228.8325
06/30/2008,275.8800,276.2000,272.9600,274.2800,55825.0000,228.2998
07/01/2008,271.4400,277.4400,270.5600,276.6400,48250.0000,230.2643
07/02/2008,274.1200,275.8400,272.4400,273.9600,26450.0000,228.0334
07/03/2008,278.0000,278.0400,273.7600,275.1200,21725.0000,228.9990
07/07/2008,275.6000,277.5600,268.7200,272.8000,47250.0000,227.0679
07/08/2008,272.5200,272.5200,268.6800,269.1200,50775.0000,224.0048
07/09/2008,269.9600,269.9600,266.0000,266.0000,47225.0000,221.4079
07/10/2008,266.9200,269.5200,265.0400,266.5200,79875.0000,221.8407
07/11/2008,266.4800,276.1200,265.4000,274.4000,94050.0000,228.3997
07/14/2008,273.0800,275.3200,267.8000,269.0000,85700.0000,223.9050
07/15/2008,268.8000,271.0400,266.6000,269.4400,60600.0000,224.2712
07/16/2008,275.2000,279.8000,273.8400,279.2000,60650.0000,232.3950
07/17/2008,279.4800,284.0000,278.0000,282.8000,85625.0000,235.3915
07/18/2008,283.6000,284.9600,280.0400,284.9200,40550.0000,237.1562
07/21/2008,284.1600,286.4800,282.0800,282.0800,45525.0000,234.7922
07/22/2008,283.6000,287.0000,283.0400,285.6400,67450.0000,237.7554
07/23/2008,285.3600,289.1600,285.3600,286.8800,64775.0000,238.7876
07/24/2008,284.7200,284.7200,278.9200,280.6400,63350.0000,233.5937
07/25/2008,284.0000,287.2000,282.0000,286.1200,37725.0000,238.1549
07/28/2008,281.9200,282.7200,278.0000,280.6400,41650.0000,233.5937
07/29/2008,283.3600,285.1200,281.0000,283.1200,20125.0000,235.6579
07/30/2008,286.1200,287.2000,279.3200,281.9600,24450.0000,234.6924
07/31/2008,276.8800,279.0000,275.9600,276.2400,35025.0000,229.9312
08/01/2008,278.4000,278.6400,275.6000,275.6400,34675.0000,229.4319
