Date,Open,High,Low,Close,Volume,Adj Close
11/23/2009,60.0100,60.0300,60.0100,60.0300,17700.0000,45.8977
11/24/2009,60.0300,60.0600,60.0200,60.0300,27100.0000,45.8977
11/25/2009,60.1100,60.1600,60.0700,60.1000,18800.0000,45.9512
11/27/2009,60.1900,60.1900,60.1000,60.1200,1200.0000,45.9665
11/30/2009,60.1200,60.1500,60.1200,60.1500,10700.0000,45.9894
12/01/2009,60.1600,60.1800,60.1600,60.1600,4800.0000,45.9971
12/02/2009,60.1700,60.1700,60.1100,60.1100,1400.0000,45.9588
12/03/2009,60.1000,60.1000,60.0300,60.0900,1900.0000,45.9436
12/04/2009,60.0100,60.0100,59.9900,60.0000,2500.0000,45.8747
12/07/2009,60.0200,60.0300,60.0100,60.0300,7600.0000,45.8977
12/08/2009,60.0900,60.0900,60.0800,60.0800,7000.0000,45.9359
12/09/2009,60.1000,60.1000,60.1000,60.1000,2100.0000,45.9512
12/10/2009,60.0600,60.0700,60.0600,60.0600,6000.0000,45.9206
12/11/2009,60.0200,60.0200,60.0200,60.0200,1700.0000,45.8900
12/14/2009,59.9900,60.0200,59.9900,60.0200,7600.0000,45.8900
12/15/2009,59.9800,59.9800,59.9200,59.9600,3200.0000,45.8442
12/16/2009,60.0100,60.0100,60.0000,60.0100,2700.0000,45.8824
12/17/2009,60.0400,60.0800,60.0300,60.0800,7100.0000,45.9359
12/18/2009,60.0500,60.0600,60.0500,60.0600,2200.0000,45.9206
12/21/2009,60.0400,60.0400,59.9900,59.9900,24300.0000,45.8671
12/22/2009,59.9800,59.9900,59.9700,59.9700,6100.0000,45.8518
12/23/2009,59.9700,59.9700,59.9200,59.9200,5700.0000,45.8136
12/24/2009,59.8700,59.8700,59.8400,59.8500,4400.0000,45.7952
12/28/2009,59.8200,59.8200,59.7800,59.7800,4400.0000,45.7416
12/29/2009,59.7900,59.7900,59.7700,59.7700,3100.0000,45.7340
12/30/2009,59.7700,59.8000,59.7700,59.8000,1400.0000,45.7569
12/31/2009,59.7200,59.7200,59.6700,59.6700,800.0000,45.6575
01/04/2010,59.7700,59.7700,59.7600,59.7600,1700.0000,45.7263
01/05/2010,59.8700,59.8900,59.8700,59.8800,2200.0000,45.8182
01/06/2010,59.8700,59.8700,59.8000,59.8400,38600.0000,45.7876
01/07/2010,59.8500,59.8500,59.8500,59.8500,1400.0000,45.7952
01/08/2010,59.9000,59.9000,59.8700,59.9000,1900.0000,45.8335
01/11/2010,59.9000,59.9600,59.9000,59.9600,1700.0000,45.8794
01/12/2010,60.0000,60.0000,59.9300,59.9300,7300.0000,45.8564
01/13/2010,59.9700,59.9900,59.9400,59.9500,3800.0000,45.8717
01/14/2010,59.9700,60.0000,59.9700,60.0000,10000.0000,45.9100
01/15/2010,60.0300,60.0500,60.0300,60.0500,1000.0000,45.9483
01/19/2010,60.0400,60.0600,59.9800,60.0600,131700.0000,45.9559
01/20/2010,60.0500,60.0600,60.0400,60.0400,2700.0000,45.9406
01/21/2010,60.0400,60.1100,60.0300,60.1100,10600.0000,45.9941
01/22/2010,60.0800,60.1400,60.0800,60.1400,5900.0000,46.0171
01/25/2010,60.1100,60.1200,60.1000,60.1200,9000.0000,46.0018
01/26/2010,60.1100,60.1100,60.0600,60.0900,26500.0000,45.9788
01/27/2010,60.1400,60.1500,60.0800,60.0800,5200.0000,45.9712
01/28/2010,60.0900,60.1300,60.0900,60.1300,10600.0000,46.0095
01/29/2010,60.0800,60.1200,60.0600,60.1200,3300.0000,46.0225
02/01/2010,60.1000,60.2500,60.0600,60.1000,16400.0000,46.0071
02/02/2010,60.1200,60.1200,60.0800,60.1200,25600.0000,46.0225
