Date,Open,High,Low,Close,Volume,Adj Close
06/22/2006,44.4700,45.3200,44.4700,45.0700,14000.0000,35.1195
06/23/2006,46.1900,46.2500,45.9700,45.9900,17700.0000,35.8364
06/26/2006,46.4800,46.4800,46.0500,46.3100,4700.0000,36.0858
06/27/2006,46.5100,47.0600,45.9700,45.9700,11900.0000,35.8208
06/28/2006,46.0900,46.3400,45.8100,46.3400,20900.0000,36.1091
06/29/2006,46.1800,49.2900,46.1800,49.2900,125100.0000,38.4078
06/30/2006,49.7000,49.8500,49.0000,49.4800,42500.0000,38.5559
07/03/2006,50.3700,50.8500,50.3700,50.8300,9700.0000,39.6078
07/05/2006,50.0800,50.3400,49.3400,50.0000,16100.0000,38.9611
07/06/2006,50.2000,50.7900,49.9700,50.0500,18200.0000,39.0000
07/07/2006,49.8500,50.1800,49.2000,49.3600,23100.0000,38.4624
07/10/2006,49.3400,49.3700,48.7400,49.0800,11000.0000,38.2442
07/11/2006,49.0400,49.0600,48.3400,49.0600,82600.0000,38.2286
07/12/2006,49.6000,49.9200,48.7600,48.7600,23700.0000,37.9948
07/13/2006,47.8300,47.9000,46.5800,46.6300,67700.0000,36.3351
07/14/2006,46.7400,46.7400,45.6000,46.0300,94100.0000,35.8676
07/17/2006,46.2900,46.2900,45.0000,45.1900,111000.0000,35.2130
07/18/2006,45.9000,45.9200,44.5200,45.1600,84800.0000,35.1896
07/19/2006,45.6700,47.4900,45.6700,47.2000,6700.0000,36.7792
07/20/2006,47.0900,47.0900,44.7600,44.7600,143900.0000,34.8779
07/21/2006,44.7000,44.7000,42.9400,42.9900,12600.0000,33.4987
07/24/2006,43.3200,43.8700,42.6800,43.5800,15800.0000,33.9585
07/25/2006,44.2600,45.3400,44.0200,45.3400,20900.0000,35.3299
07/26/2006,43.9800,44.8100,43.5500,44.8100,28100.0000,34.9169
07/27/2006,45.3500,45.3900,44.0000,44.0800,8700.0000,34.3481
07/28/2006,44.0800,44.0800,44.0800,44.0800,,34.3481
07/31/2006,44.9500,46.2500,44.9000,45.9100,11300.0000,35.7741
