Date,Open,High,Low,Close,Volume,Adj Close
06/22/2006,137.6000,138.2000,136.4400,137.9200,11950.0000,104.4886
06/23/2006,144.4000,146.0000,144.4000,145.5600,725.0000,110.2766
06/26/2006,145.5600,145.5600,145.5600,145.5600,,110.2766
06/27/2006,149.0000,149.0000,147.5200,147.8800,3225.0000,112.0342
06/28/2006,148.1600,149.8400,148.1600,149.8400,8975.0000,113.5191
06/29/2006,151.4800,153.9600,151.4800,153.9600,4825.0000,116.6405
06/30/2006,155.1600,156.2800,153.7200,155.9600,13400.0000,118.1556
07/03/2006,157.0000,158.2400,156.6800,157.9200,1925.0000,119.6406
07/05/2006,157.8000,157.8000,154.8800,157.0000,3850.0000,118.9436
07/06/2006,156.7200,157.5200,155.5600,155.6000,6850.0000,117.8829
07/07/2006,158.0000,158.0000,153.8000,154.0800,4350.0000,116.7313
07/10/2006,153.5200,154.8400,153.0800,153.8400,18075.0000,116.5496
07/11/2006,154.3600,155.7600,153.8800,155.7600,32275.0000,118.0042
07/12/2006,154.9200,155.8000,154.0400,154.7200,25700.0000,117.2162
07/13/2006,152.3600,152.8800,152.1600,152.3600,550.0000,115.4283
07/14/2006,153.0400,153.1600,150.2800,152.2000,13550.0000,115.3071
07/17/2006,152.5200,152.5200,148.2000,148.2000,4975.0000,112.2767
07/18/2006,150.8400,150.8400,147.5200,149.7200,7000.0000,113.4282
07/19/2006,150.1600,150.9600,149.2800,150.0000,3075.0000,113.6403
07/20/2006,150.6000,150.9600,149.0800,149.0800,8625.0000,112.9434
07/21/2006,146.8800,146.8800,145.2400,145.4800,2675.0000,110.2160
07/24/2006,150.5200,151.0800,149.7600,151.0800,7600.0000,114.4585
07/25/2006,152.7600,152.8000,152.6000,152.6000,1650.0000,115.6101
07/26/2006,154.0800,159.4000,154.0000,158.5600,2325.0000,120.1255
07/27/2006,159.0000,159.2800,155.2000,155.2000,2100.0000,117.5799
07/28/2006,156.5600,157.0000,156.4000,157.0000,2750.0000,118.9436
07/31/2006,159.8000,159.8000,158.7600,159.4000,1450.0000,120.7618
08/01/2006,161.0000,161.7200,159.3200,161.7200,1900.0000,122.5195
08/02/2006,163.0000,164.3600,160.8800,160.8800,3000.0000,121.8831
08/03/2006,160.0000,161.3600,159.2000,160.2400,2025.0000,121.3982
08/04/2006,160.6000,160.6000,158.6800,158.9600,3400.0000,120.4285
08/07/2006,160.1600,161.4400,159.4800,160.7200,1875.0000,121.7618
08/08/2006,160.8000,162.6000,160.8000,160.9600,1525.0000,121.9437
08/09/2006,162.5200,164.4800,161.9600,162.4800,2325.0000,123.0952
08/10/2006,161.2000,161.7200,159.4800,160.6800,2275.0000,121.7315
08/11/2006,160.7200,161.0400,159.2000,159.6800,1925.0000,120.9739
08/14/2006,159.0400,159.0400,154.8000,155.4800,1525.0000,117.7921
08/15/2006,156.3200,156.9600,155.7200,156.6800,2150.0000,118.7011
08/16/2006,157.4800,158.7200,155.8000,155.8000,2825.0000,118.0344
08/17/2006,154.1200,154.6800,153.3600,153.9200,2475.0000,116.6102
08/18/2006,155.4800,155.6000,153.5600,155.6000,2475.0000,117.8829
08/21/2006,156.6000,156.7600,156.4000,156.7600,700.0000,118.7617
08/22/2006,157.5600,158.1600,157.1600,157.7200,1025.0000,119.4890
08/23/2006,158.1600,158.1600,155.0800,155.0800,1400.0000,117.4890
08/24/2006,155.6800,156.9600,155.6800,156.9600,3825.0000,118.9132
08/25/2006,161.6000,161.8400,159.8000,160.3200,39075.0000,121.4588
08/28/2006,159.5200,159.5200,158.0400,158.0400,600.0000,119.7315
08/29/2006,156.3200,156.8400,155.6400,156.8400,2650.0000,118.8223
08/30/2006,157.5200,157.5200,153.4000,153.4000,2500.0000,116.2162
08/31/2006,154.8400,155.2400,154.5600,154.5600,425.0000,117.0950
09/01/2006,155.4000,156.6800,155.4000,156.4400,13250.0000,118.5193
09/05/2006,155.8400,158.1600,155.8400,157.9600,38600.0000,119.6709
09/06/2006,156.1600,156.1600,153.2400,153.2400,675.0000,116.0950
09/07/2006,152.4000,153.1600,151.2800,152.4400,4825.0000,115.4889
09/08/2006,151.1200,151.1200,147.5600,147.5600,78175.0000,111.7918
09/11/2006,146.4000,146.4000,142.0000,142.6000,177425.0000,108.0341
09/12/2006,143.0000,143.7600,141.0000,141.6000,171000.0000,107.2765
09/13/2006,143.0800,145.1200,143.0800,144.4000,10225.0000,109.3978
09/14/2006,144.5600,144.5600,139.8000,140.0000,4000.0000,106.0643
09/15/2006,139.2400,140.4400,139.1200,139.9600,1225.0000,106.0552
09/18/2006,141.9600,143.6800,141.0000,143.2000,1125.0000,108.5103
09/19/2006,143.4400,143.4400,139.4400,139.9600,104075.0000,106.0552
09/20/2006,139.3600,140.3600,136.6400,136.8800,45350.0000,103.7214
09/21/2006,138.3600,140.3600,138.2400,138.7200,52300.0000,105.1156
09/22/2006,139.2400,139.2400,136.4800,136.6400,95850.0000,103.5395
09/25/2006,134.5600,137.2400,133.2400,136.6800,17650.0000,103.5698
09/26/2006,137.0000,140.5200,136.8000,140.5200,7600.0000,106.4796
09/27/2006,142.9200,143.2000,139.4000,143.2000,74950.0000,108.5103
09/28/2006,142.3200,143.2800,141.4000,142.0800,22750.0000,107.6617
09/29/2006,141.8400,143.0400,141.0800,142.1200,8675.0000,107.6919
10/02/2006,141.5200,142.8000,139.7600,139.7600,5050.0000,105.9037
10/03/2006,139.0000,139.0000,134.1200,134.2400,54000.0000,101.7209
10/04/2006,135.4800,136.3200,131.6000,136.2400,15125.0000,103.2364
10/05/2006,139.2000,139.6400,137.2800,139.0000,42250.0000,105.3278
10/06/2006,138.0000,139.5600,136.7200,139.1600,18300.0000,105.4490
10/09/2006,140.8800,141.2800,138.2000,138.4800,2875.0000,104.9337
10/10/2006,138.6000,141.6000,138.6000,141.4400,23975.0000,107.1767
10/11/2006,141.2000,141.2000,138.8400,139.4400,9175.0000,105.6612
10/12/2006,140.6000,142.7200,140.6000,142.5600,1150.0000,108.0254
10/13/2006,144.0000,146.0800,143.7200,145.2000,277675.0000,110.0259
10/16/2006,146.2000,149.4400,145.9600,149.4400,12650.0000,113.2388
10/17/2006,148.6400,148.6400,146.2400,147.5200,5325.0000,111.7838
10/18/2006,147.4000,148.5600,146.6800,147.2000,2875.0000,111.5414
10/19/2006,149.0800,150.7200,148.0000,150.7200,4200.0000,114.2087
10/20/2006,150.4400,150.4400,147.3200,148.1200,8850.0000,112.2385
10/23/2006,146.8000,148.8800,146.4800,147.7200,3275.0000,111.9354
10/24/2006,148.5600,151.2800,148.5600,151.2800,9775.0000,114.6330
10/25/2006,150.8000,154.0000,150.8000,153.8400,8225.0000,116.5728
10/26/2006,155.1600,155.1600,151.6000,152.9200,8950.0000,115.8757
10/27/2006,153.2000,154.1200,150.8400,150.8400,7325.0000,114.2996
10/30/2006,150.0000,150.2400,148.6400,148.6800,20725.0000,112.6628
10/31/2006,148.5600,150.6400,146.6800,150.6400,16050.0000,114.1481
11/01/2006,148.8800,150.6000,147.3600,147.9200,16100.0000,112.0869
11/02/2006,147.5200,149.4400,146.4800,148.8400,7825.0000,112.7841
11/03/2006,151.1200,152.5600,151.1200,152.3200,13775.0000,115.4210
11/06/2006,152.0000,152.9200,151.4800,152.8800,3075.0000,115.8454
11/07/2006,153.2000,153.2000,150.8800,151.1600,5100.0000,114.5421
11/08/2006,150.4000,153.7600,150.4000,153.7200,5025.0000,116.4819
11/09/2006,154.5600,156.8000,154.4400,155.5600,12300.0000,117.8762
11/10/2006,153.8800,154.0800,152.5200,152.9200,3500.0000,115.8757
11/13/2006,151.7600,152.8800,151.4400,152.5600,2300.0000,115.6029
11/14/2006,152.4000,153.5600,151.8800,153.4800,6650.0000,116.3001
11/15/2006,154.0800,156.6000,154.0800,156.4800,8000.0000,118.5733
11/16/2006,157.0000,157.0000,151.6000,151.7600,27375.0000,114.9967
11/17/2006,151.0000,155.0000,150.8400,154.8000,9725.0000,117.3003
11/20/2006,154.7200,154.7600,152.9200,153.8400,1800.0000,116.5728
11/21/2006,155.0400,157.6000,155.0400,157.4000,6050.0000,119.2705
11/22/2006,157.5600,157.5600,154.8000,156.7200,24300.0000,118.7551
11/24/2006,157.5600,157.5600,156.6000,156.6000,1075.0000,118.6643
11/27/2006,156.8000,157.2000,155.1200,155.2000,16925.0000,117.6034
11/28/2006,157.0000,158.7200,156.7200,158.4800,6375.0000,120.0888
11/29/2006,159.3200,164.2400,159.3200,163.9600,11175.0000,124.2413
11/30/2006,164.3600,165.4800,163.1200,164.8400,4875.0000,124.9081
12/01/2006,164.2000,165.5200,161.8400,165.4800,8650.0000,125.3931
12/04/2006,164.6400,164.6400,163.0000,164.2000,1950.0000,124.4232
12/05/2006,165.8000,165.8000,163.8800,164.9600,2750.0000,124.9991
12/06/2006,165.2000,166.5200,164.7600,164.8000,2300.0000,124.8778
12/07/2006,163.5200,164.4400,162.9600,163.8800,825.0000,124.1807
12/08/2006,164.1200,164.8400,162.8800,162.8800,1675.0000,123.4229
12/11/2006,161.5200,163.2000,161.4000,162.2400,850.0000,122.9380
12/12/2006,161.9600,162.9200,160.6400,161.4400,2275.0000,122.3318
12/13/2006,161.5200,163.2000,161.3200,162.2400,3725.0000,122.9380
12/14/2006,163.0400,164.7600,163.0400,164.4000,4425.0000,124.5747
12/15/2006,163.8000,164.0400,162.0000,162.3200,3225.0000,123.0975
12/18/2006,161.6000,161.6000,155.8400,155.8800,1300.0000,118.2136
12/19/2006,154.6800,159.4000,154.6800,158.8000,2300.0000,120.4280
12/20/2006,158.7600,158.9600,156.1600,156.3200,11025.0000,118.5473
12/21/2006,156.8400,156.8800,154.4800,155.2400,7425.0000,117.7282
12/22/2006,154.8400,155.2000,154.4400,154.6400,2875.0000,117.2732
12/26/2006,154.7600,155.2800,152.5600,153.1600,2450.0000,116.1508
12/27/2006,153.4000,154.4800,152.3200,154.4800,11000.0000,117.1519
12/28/2006,154.0800,154.5200,153.6400,154.2000,1175.0000,116.9395
12/29/2006,153.5200,153.5200,152.2000,152.2800,37525.0000,115.4835
01/03/2007,150.3600,150.3600,145.8000,146.5600,67475.0000,111.1456
01/04/2007,145.2000,146.1600,144.0000,144.6400,63475.0000,109.6896
01/05/2007,144.7200,146.0000,143.5600,146.0000,53550.0000,110.7210
01/08/2007,148.2400,148.6800,145.2400,146.6400,30275.0000,111.2063
01/09/2007,143.8400,146.0000,143.2000,145.1200,11700.0000,110.0536
01/10/2007,144.0400,144.2000,141.9600,142.4000,104500.0000,107.9909
01/11/2007,143.0000,145.9200,141.4800,141.6800,5825.0000,107.4448
01/12/2007,142.6400,146.5600,142.6400,146.3600,66825.0000,110.9940
01/16/2007,146.2000,146.7200,144.3600,144.8400,24875.0000,109.8412
01/17/2007,145.5600,147.1600,145.4000,146.4400,4000.0000,111.0546
01/18/2007,147.1200,147.2000,144.6400,145.0400,62350.0000,109.9929
01/19/2007,146.4800,149.3600,146.4800,149.3200,16900.0000,113.2388
01/22/2007,150.2000,150.7600,148.0000,149.0800,6600.0000,113.0567
01/23/2007,150.6400,153.7200,150.6400,153.3600,6075.0000,116.3025
01/24/2007,153.0000,154.5200,151.5200,154.0400,15450.0000,116.8182
01/25/2007,154.1200,154.1200,150.4400,150.8400,16200.0000,114.3914
01/26/2007,152.0400,152.7600,151.4800,152.3600,2600.0000,115.5442
01/29/2007,153.4800,154.3600,151.6000,152.2000,6725.0000,115.4228
01/30/2007,153.6000,156.0800,153.4800,155.9200,15500.0000,118.2439
01/31/2007,155.2000,157.5200,155.2000,156.8800,33350.0000,118.9719
02/01/2007,157.6800,158.2800,156.0400,157.5600,9275.0000,119.4877
