Date,Open,High,Low,Close,Volume,Adj Close
11/25/2008,18.1200,18.1200,18.1200,18.1200,133.0000,18.1200
11/26/2008,18.0000,18.2775,18.0000,18.2100,1733.0000,18.2100
11/28/2008,18.1200,18.1800,18.1050,18.1800,3333.0000,18.1800
12/01/2008,17.5575,17.5575,17.2575,17.3625,1067.0000,17.3625
12/02/2008,17.5425,17.5425,17.2800,17.2800,9333.0000,17.2800
12/03/2008,17.1000,17.3400,17.0175,17.3400,6267.0000,17.3400
12/04/2008,17.1000,17.1900,17.1000,17.1000,3600.0000,17.1000
12/05/2008,16.8225,17.2725,16.7400,17.2725,6533.0000,17.2725
12/08/2008,17.2725,17.2725,17.0850,17.0850,2400.0000,17.0850
12/09/2008,17.0250,17.0250,16.8000,16.8000,3733.0000,16.8000
12/10/2008,17.1150,17.1750,17.0850,17.0850,5333.0000,17.0850
12/11/2008,16.7325,16.8375,16.6275,16.7400,4267.0000,16.7400
12/12/2008,16.2750,16.6800,16.2000,16.4700,7867.0000,16.4700
12/15/2008,16.3500,16.3950,16.2600,16.3350,5067.0000,16.3350
12/16/2008,16.2000,16.2000,15.6525,15.6525,10267.0000,15.6525
12/17/2008,15.6000,15.6000,15.2250,15.2250,13067.0000,15.2250
12/18/2008,15.4200,16.1025,15.4200,15.8925,27733.0000,15.8925
12/19/2008,16.1550,16.1550,15.6825,15.8025,28267.0000,15.8025
12/22/2008,15.9900,16.1550,15.9900,16.1400,16800.0000,16.1400
12/23/2008,15.9975,16.4100,15.9975,16.4100,17733.0000,16.4100
12/24/2008,16.2600,16.2600,16.2000,16.2000,533.0000,16.2000
12/26/2008,16.0725,16.2525,16.0725,16.2375,533.0000,16.2375
12/29/2008,16.1700,16.1700,16.1175,16.1175,4533.0000,16.1175
12/30/2008,16.1625,16.2000,16.1325,16.2000,1733.0000,16.2000
12/31/2008,16.1325,16.5525,16.1325,16.3875,9200.0000,16.3875
01/02/2009,16.6575,16.8150,16.6350,16.6350,1600.0000,16.6350
01/05/2009,17.1975,17.2725,17.0700,17.2350,14800.0000,17.2350
01/06/2009,17.6100,17.7000,17.3700,17.4450,22667.0000,17.4450
01/07/2009,16.9650,17.1675,16.9500,16.9500,51867.0000,16.9500
01/08/2009,16.4925,16.5075,16.3875,16.4700,12267.0000,16.4700
01/09/2009,16.3500,16.3500,16.0875,16.1550,6667.0000,16.1550
01/12/2009,15.9300,15.9375,15.5400,15.6225,46400.0000,15.6225
01/13/2009,15.9300,15.9375,15.6075,15.6375,64667.0000,15.6375
01/14/2009,15.6375,15.6450,15.5100,15.6450,10000.0000,15.6450
01/15/2009,15.8400,16.7250,15.6525,15.8700,23067.0000,15.8700
01/16/2009,16.2675,16.2675,16.1025,16.1700,18267.0000,16.1700
01/20/2009,16.2525,16.2525,15.8400,15.8400,48933.0000,15.8400
01/21/2009,15.8925,15.8925,14.9025,15.8400,48800.0000,15.8400
01/22/2009,15.4875,15.7125,15.4500,15.5850,9200.0000,15.5850
01/23/2009,15.4875,15.8100,15.4875,15.6150,9600.0000,15.6150
01/26/2009,15.6750,15.8250,15.6225,15.6975,134267.0000,15.6975
01/27/2009,15.6825,15.6900,15.4200,15.6225,13867.0000,15.6225
01/28/2009,15.7125,16.1475,15.6900,15.9825,20800.0000,15.9825
01/29/2009,15.8250,15.8775,15.7500,15.8775,11600.0000,15.8775
01/30/2009,15.7650,15.9375,15.7050,15.9075,38533.0000,15.9075
02/02/2009,15.8175,15.9300,15.6825,15.8175,12667.0000,15.8175
02/03/2009,15.6075,15.7650,15.4500,15.6825,20533.0000,15.6825
02/04/2009,15.7950,15.8550,15.7500,15.7500,11467.0000,15.7500
02/05/2009,15.8850,16.6875,15.8700,16.3125,16933.0000,16.3125
02/06/2009,16.4475,16.6725,16.3875,16.5450,61200.0000,16.5450
02/09/2009,16.5225,16.5225,16.3200,16.4175,20933.0000,16.4175
02/10/2009,16.3125,16.3125,15.8850,15.9750,32267.0000,15.9750
